dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,191.414082,139.252434,0.030952,1.547619,38.690476,967.261905,3.163940
0.040000,191.427497,139.252744,0.044372,0.335483,-30.303404,-1724.846996,3.165316
0.040000,191.293315,139.249246,0.178599,3.355685,75.505063,2645.211674,3.168428
0.040000,190.852824,139.236193,0.619284,11.017120,191.535860,2900.769908,3.174023
0.040000,190.193887,139.212005,1.278665,16.484519,136.684975,-1371.272112,3.182582
0.040000,189.318808,139.171005,2.154704,21.900979,135.411515,-31.836506,3.194311
0.040000,188.230791,139.105364,3.244699,27.249891,133.722801,-42.217841,3.209504
0.040000,186.934630,139.004910,4.544747,32.501176,131.282122,-61.016979,3.228548
0.040000,185.436745,138.856847,6.049932,37.629632,128.211393,-76.768235,3.251943
0.040000,183.745785,138.645456,7.754054,42.603044,124.335301,-96.902298,3.280326
0.040000,181.873203,138.351757,9.649528,47.386851,119.595173,-118.503203,3.314483
0.040000,179.834349,137.953265,11.726960,51.935798,113.723667,-146.787654,3.355363
0.040000,177.648937,137.423728,13.975611,56.216292,107.012353,-167.782837,3.404076
0.040000,175.342137,136.733178,16.383553,60.198545,99.556336,-186.400426,3.461834
0.040000,172.944558,135.848058,18.939297,63.893594,92.376208,-179.503192,3.529813
0.040000,170.491587,134.731547,21.634416,67.377971,87.109425,-131.669583,3.608870
0.040000,168.020998,133.343567,24.468193,70.844444,86.661848,-11.189430,3.699078
0.040000,165.569643,131.640275,27.453213,74.625500,94.526387,196.613469,3.799143
0.040000,163.170811,129.573604,30.619524,79.157761,113.306534,469.503676,3.905983
0.040000,160.854491,127.093306,34.013227,84.842576,142.120372,720.345952,4.014879
0.040000,158.650097,124.154148,37.687190,91.849074,175.162444,826.051810,4.120426
0.040000,156.599296,120.748458,41.662678,99.387208,188.453357,332.272817,4.217285
0.040000,154.744240,116.921668,45.915390,106.317797,173.264725,-379.715793,4.301614
0.040000,153.106115,112.749748,50.397395,112.050129,143.308290,-748.910881,4.371985
0.040000,151.685066,108.325985,55.043797,116.160056,102.748185,-1014.002613,4.428702
0.040000,150.458063,103.721049,59.809401,119.140077,74.500524,-706.191526,4.473215
0.040000,149.389591,98.971801,64.677356,121.698876,63.969974,-263.263744,4.507246
0.040000,148.444067,94.106055,69.634119,123.919084,55.505202,-211.619306,4.532181
0.040000,147.586623,89.144116,74.669598,125.886967,49.197061,-157.703540,4.549050
0.040000,146.783075,84.100326,79.776995,127.684934,44.949197,-106.196595,4.558546
0.040000,145.999374,78.984509,84.952492,129.387430,42.562397,-59.669986,4.561060
0.040000,145.200689,73.803123,90.195073,131.064531,41.927518,-15.871990,4.556692
0.040000,144.350197,68.560285,95.506447,132.784333,42.995045,26.688176,4.545267
0.040000,143.407549,63.258719,100.891165,134.617963,45.840749,71.142604,4.526314
0.040000,142.327007,57.900957,106.356802,136.640909,50.573643,118.322347,4.499051
0.040000,141.055175,52.490968,111.914278,138.936900,57.399778,170.653371,4.462356
0.040000,139.528474,47.036967,117.577928,141.591260,66.358996,223.980453,4.414747
0.040000,137.671267,41.557199,123.363866,144.648446,76.429658,251.766559,4.354443
0.040000,135.410234,36.118969,129.253401,147.238375,64.748235,-292.035576,4.280048
0.040000,132.694869,30.845240,135.185131,148.293249,26.371838,-959.409923,4.191505
0.040000,129.513267,25.884516,141.078464,147.333337,-23.997789,-1259.240674,4.090730
0.040000,125.918546,21.395509,146.829395,143.773272,-89.001632,-1625.096091,3.982185
0.040000,122.014833,17.489461,152.351730,138.058367,-142.872622,-1346.774749,3.871691
0.040000,117.929469,14.208273,157.591615,130.997127,-176.531000,-841.459448,3.764798
0.040000,113.801728,11.541760,162.505731,122.852895,-203.605795,-676.869863,3.665976
0.040000,109.754468,9.434996,167.068490,114.068974,-219.598026,-399.805778,3.577843
0.040000,105.878922,7.807705,171.271813,105.083090,-224.647097,-126.226768,3.501227
0.040000,102.234432,6.573648,175.119567,96.193838,-222.231318,60.394454,3.435719
0.040000,98.855271,5.652753,178.621963,87.559898,-215.848500,159.570456,3.380264
0.040000,95.759147,4.976434,181.791093,79.228267,-208.290774,188.943151,3.333602
0.040000,92.953319,4.488334,184.639059,71.199152,-200.727869,189.072635,3.294495
0.040000,90.439332,4.143265,187.176619,63.438981,-194.004270,168.089978,3.261843
0.040000,88.216026,3.905439,189.412608,55.899737,-188.481096,138.079350,3.234723
0.040000,86.280711,3.746647,191.354427,48.545469,-183.856698,115.609933,3.212377
0.040000,84.630268,3.644799,193.008009,41.339557,-180.147799,92.722473,3.194197
0.040000,83.261565,3.582733,194.378118,34.252726,-177.170775,74.425604,3.179704
0.040000,82.171958,3.547311,195.468301,27.254578,-174.953711,55.426616,3.168528
0.040000,81.359425,3.528736,196.281047,20.318633,-173.398626,38.877124,3.160397
0.040000,80.820765,3.520036,196.819777,13.468250,-171.259584,53.476040,3.155100
0.040000,80.519453,3.516408,197.121111,7.533358,-148.372300,572.182096,3.152169
0.040000,80.386530,3.515088,197.254041,3.323241,-105.252911,1077.984732,3.150883
0.040000,80.353596,3.514787,197.286976,0.823388,-62.496329,1068.914556,3.150565
0.040000,80.353596,3.514787,197.286976,0.000000,-20.584698,1047.790766,3.150565
