dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,191.196216,149.000000,0.030952,1.547619,38.690476,967.261905,3.163940
0.040000,191.196216,149.000000,0.154762,4.642857,77.380952,967.261905,3.165316
0.040000,191.031707,148.995736,0.433333,9.285714,116.071429,967.261905,3.168428
0.040000,190.536683,148.981066,0.928571,15.476190,154.761905,967.261905,3.174023
0.040000,189.794355,148.953816,1.671429,21.666667,154.761905,0.000000,3.182582
0.040000,188.805043,148.907460,2.661905,27.857143,154.761905,0.000000,3.194311
0.040000,187.569165,148.832889,3.900000,34.047619,154.761905,0.000000,3.209504
0.040000,186.087888,148.718072,5.385714,40.238095,154.761905,-0.000000,3.228548
0.040000,184.363007,148.547543,7.119048,46.428571,154.761905,0.000000,3.251943
0.040000,182.397470,148.301778,9.100000,52.619048,154.761905,0.000000,3.280326
0.040000,180.195908,147.956401,11.328571,58.809524,154.761905,0.000000,3.314483
0.040000,177.765924,147.481335,13.804762,65.000000,154.761905,0.000000,3.355363
0.040000,175.119006,146.839776,16.528571,71.190476,154.761905,0.000000,3.404076
0.040000,172.272880,145.987483,19.500000,77.380952,154.761905,-0.000000,3.461834
0.040000,169.253773,144.872503,22.719048,83.571429,154.761905,0.000000,3.529813
0.040000,166.099626,143.436326,26.185714,89.761905,154.761905,-0.000000,3.608870
0.040000,162.862721,141.617302,29.900000,95.952381,154.761905,0.000000,3.699078
0.040000,159.610636,139.357318,33.861905,102.142857,154.761905,-0.000000,3.799143
0.040000,156.422867,136.611200,38.071429,108.333333,154.761905,0.000000,3.905983
0.040000,153.381659,133.355837,42.528571,114.523810,154.761905,-0.000000,4.014879
0.040000,150.559090,129.594562,47.233333,120.714286,154.761905,0.000000,4.120426
0.040000,148.020081,125.380906,52.154762,125.357143,116.071429,-967.261905,4.217285
0.040000,145.805325,120.815034,57.230952,128.452381,77.380952,-967.261905,4.301614
0.040000,143.915570,116.004958,62.400000,130.000000,38.690476,-967.261905,4.371985
0.040000,142.324773,111.054979,67.600000,130.000000,0.000000,-967.261905,4.428702
0.040000,140.985605,106.030821,72.800000,130.000000,0.000000,0.000000,4.473215
0.040000,139.844030,100.957942,78.000000,130.000000,0.000000,0.000000,4.507246
0.040000,138.851954,95.853585,83.200000,130.000000,0.000000,0.000000,4.532181
0.040000,137.966398,90.729603,88.400000,130.000000,0.000000,0.000000,4.549050
0.040000,137.148227,85.594384,93.600000,130.000000,0.000000,0.000000,4.558546
0.040000,136.360801,80.454346,98.800000,130.000000,0.000000,0.000000,4.561060
0.040000,135.568628,75.315039,104.000000,130.000000,0.000000,0.000000,4.556692
0.040000,134.736039,70.182154,109.200000,130.000000,0.000000,0.000000,4.545267
0.040000,133.825855,65.062503,114.400000,130.000000,0.000000,0.000000,4.526314
0.040000,132.798042,59.965255,119.600000,130.000000,0.000000,0.000000,4.499051
0.040000,131.608357,54.903465,124.800000,130.000000,0.000000,0.000000,4.462356
0.040000,130.207176,49.896318,130.000000,130.000000,0.000000,0.000000,4.414747
0.040000,128.539239,44.973127,135.198837,129.941835,-1.454129,-36.353219,4.354443
0.040000,126.557358,40.204195,140.364394,128.336051,-40.144605,-967.261905,4.280048
0.040000,124.237920,35.697302,145.434768,125.182647,-78.835081,-967.261905,4.191505
0.040000,121.587363,31.562769,150.348054,120.481625,-117.525557,-967.261905,4.090730
0.040000,118.654424,27.898972,155.043509,114.291149,-154.761905,-930.908686,3.982185
0.040000,115.512143,24.754275,159.491346,108.100673,-154.761905,0.000000,3.871691
0.040000,112.238969,22.125387,163.691563,101.910197,-154.761905,-0.000000,3.764798
0.040000,108.920104,19.981681,167.644161,95.719720,-154.761905,0.000000,3.665976
0.040000,105.634662,18.271833,171.349141,89.529244,-154.761905,0.000000,3.577843
0.040000,102.447583,16.933953,174.806501,83.338768,-154.761905,-0.000000,3.501227
0.040000,99.407873,15.904943,178.016242,77.148292,-154.761905,0.000000,3.435719
0.040000,96.550251,15.126368,180.978364,70.957816,-154.761905,-0.000000,3.380264
0.040000,93.898534,14.547255,183.692867,64.767339,-154.761905,0.000000,3.333602
0.040000,91.468325,14.124583,186.159751,58.576863,-154.761905,-0.000000,3.294495
0.040000,89.269713,13.822857,188.379016,52.386387,-154.761905,0.000000,3.261843
0.040000,87.309312,13.613187,190.350662,46.195911,-154.761905,0.000000,3.234723
0.040000,85.591135,13.472231,192.074689,40.005435,-154.761905,0.000000,3.212377
0.040000,84.117608,13.381312,193.551097,33.814958,-154.761905,-0.000000,3.194197
0.040000,82.890072,13.325653,194.779886,27.624482,-154.761905,0.000000,3.179704
0.040000,81.909365,13.293774,195.761056,21.434006,-154.761905,-0.000000,3.168528
0.040000,81.176089,13.277013,196.494607,15.243530,-154.761905,-0.000000,3.160397
0.040000,80.689070,13.269147,196.981701,9.111219,-153.307776,36.353219,3.155100
0.040000,80.416336,13.265863,197.254456,4.526527,-114.617300,967.261905,3.152169
0.040000,80.295950,13.264667,197.374776,1.489454,-75.926824,967.261905,3.150883
0.040000,80.266116,13.264395,197.404565,0.000000,-37.236347,967.261905,3.150565
0.040000,80.266116,13.264395,197.404565,0.000000,0.000000,930.908686,3.150565
