dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,190.978347,161.247565,0.030952,1.547619,38.690476,967.261905,3.163940
0.040000,190.965255,161.247264,0.044048,0.327383,-30.505895,-1729.909286,3.165283
0.040000,190.776984,161.242414,0.232381,4.708330,109.523662,3500.738940,3.168319
0.040000,190.228757,161.226263,0.780846,13.711635,225.082632,2888.974239,3.173779
0.040000,189.405092,161.196312,1.605055,20.605229,172.339852,-1318.569502,3.182130
0.040000,188.304202,161.145379,2.707123,27.551688,173.661473,33.040538,3.193574
0.040000,186.923987,161.063368,4.089772,34.566223,175.363374,42.547509,3.208397
0.040000,185.262005,160.936767,5.756569,41.669933,177.592751,55.734441,3.226976
0.040000,183.315349,160.747932,7.712363,48.894850,180.622926,75.754355,3.249802
0.040000,181.081121,160.474157,9.963302,56.273481,184.465782,96.071408,3.277501
0.040000,178.557079,160.086465,12.516945,63.841059,189.189452,118.091762,3.310848
0.040000,175.742789,159.548142,15.382258,71.632833,194.794341,140.122216,3.350786
0.040000,172.640660,158.812850,18.570339,79.702030,201.729928,173.389674,3.398433
0.040000,169.259758,157.823074,22.093144,88.070123,209.202324,186.809901,3.455032
0.040000,165.620019,156.509092,25.962801,96.741420,216.782417,189.502323,3.521834
0.040000,161.759229,154.790363,30.188879,105.651958,222.763446,149.525736,3.599835
0.040000,157.741106,152.581523,34.774104,114.630605,224.466176,42.568232,3.689323
0.040000,153.661592,149.805543,39.708524,123.360511,218.247648,-155.463183,3.789278
0.040000,149.646880,146.413530,44.964345,131.395528,200.875426,-434.305568,3.896853
0.040000,145.836175,142.403058,50.496556,138.305277,172.743742,-703.292097,4.007408
0.040000,142.352428,137.822750,56.251181,143.865631,139.008840,-843.372542,4.115375
0.040000,139.292634,132.788671,62.142216,147.275875,85.256092,-1343.818703,4.215073
0.040000,136.701884,127.460480,68.066877,148.116518,21.016078,-1606.000354,4.302289
0.040000,134.562092,121.983539,73.946979,147.002538,-27.849495,-1221.639317,4.375353
0.040000,132.819640,116.477059,79.722571,144.389810,-65.318202,-936.717683,4.434473
0.040000,131.400435,111.003836,85.376800,141.355733,-75.851927,-263.343118,4.481114
0.040000,130.229719,105.578474,90.927037,138.755915,-64.995453,271.411857,4.517065
0.040000,129.245277,100.207573,96.387413,136.509389,-56.163145,220.807682,4.543787
0.040000,128.394933,94.893939,101.768658,134.531129,-49.456487,167.666453,4.562384
0.040000,127.634001,89.639215,107.078191,132.738330,-44.819985,115.912555,4.573620
0.040000,126.923029,84.445373,112.320468,131.056924,-42.035141,69.621108,4.577956
0.040000,126.225963,79.315807,117.497180,129.417801,-40.978092,26.426209,4.575567
0.040000,125.508636,74.256225,122.607360,127.754494,-41.582661,-15.114226,4.566356
0.040000,124.737568,69.275577,127.647339,125.999496,-43.874965,-57.307582,4.549949
0.040000,123.879041,64.387239,132.610496,124.078901,-48.014856,-103.497274,4.525670
0.040000,122.898501,59.610296,137.487035,121.913499,-54.135067,-153.005279,4.492516
0.040000,121.760465,54.971228,142.263653,119.415435,-62.451592,-207.913131,4.449131
0.040000,120.429168,50.505408,146.923686,116.500819,-72.865401,-260.345230,4.393811
0.040000,118.875036,46.269551,151.435649,112.799073,-92.543651,-491.956243,4.324840
0.040000,117.087388,42.348020,155.745415,107.744165,-126.372708,-845.726435,4.241356
0.040000,115.079843,38.825414,159.799918,101.362576,-159.539727,-829.175478,4.144262
0.040000,112.887766,35.757922,163.570158,94.255998,-177.664441,-453.117846,4.036921
0.040000,110.556474,33.156293,167.063494,87.333389,-173.065212,114.980738,3.924911
0.040000,108.123354,30.986443,170.323604,81.502767,-145.765565,682.491164,3.814359
0.040000,105.619368,29.196750,173.401420,76.945387,-113.934504,795.776517,3.710477
0.040000,103.079217,27.737457,176.330909,73.237221,-92.704147,530.758942,3.616750
0.040000,100.541982,26.563199,179.126698,69.894736,-83.562108,228.550979,3.534678
0.040000,98.048313,25.632471,181.788397,66.542481,-83.806380,-6.106804,3.464225
0.040000,95.636435,24.906932,184.307040,62.966059,-89.410561,-140.104527,3.404469
0.040000,93.339709,24.351525,186.669968,59.073210,-97.321216,-197.766389,3.354140
0.040000,91.185073,23.934701,188.864552,54.864599,-105.215279,-197.351575,3.311922
0.040000,89.194031,23.628856,190.878947,50.359884,-112.617863,-185.064586,3.276623
0.040000,87.382802,23.410205,192.703326,45.609473,-118.760298,-153.560883,3.247224
0.040000,85.763783,23.258675,194.329421,40.652358,-123.927862,-129.189083,3.222884
0.040000,84.346122,23.157547,195.750684,35.531593,-128.019118,-102.281402,3.202925
0.040000,83.136675,23.093131,196.961846,30.279034,-131.313976,-82.371468,3.186812
0.040000,82.140496,23.054427,197.958776,24.923263,-133.894292,-64.507890,3.174125
0.040000,81.361231,23.032820,198.738340,19.489106,-135.853922,-48.990760,3.164549
0.040000,80.801324,23.021848,199.298355,14.000351,-137.218865,-34.123561,3.157848
0.040000,80.449190,23.016854,199.650525,8.804252,-129.902483,182.909533,3.153708
0.040000,80.265021,23.014821,199.834705,4.604505,-104.993662,622.720532,3.151565
0.040000,80.193281,23.014135,199.906448,1.793579,-70.273151,868.012784,3.150734
0.040000,80.178637,23.014002,199.921093,0.366125,-35.686363,864.669692,3.150565
0.040000,80.178637,23.014002,199.921093,0.000000,-9.153118,663.331118,3.150565
