dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,188.550144,150.866434,0.030952,1.547619,38.690476,967.261905,3.119247
0.040000,188.536266,150.866754,0.044834,0.347040,-30.014469,-1717.623619,3.117823
0.040000,188.332396,150.872035,0.248773,5.098475,118.785858,3720.008176,3.114604
0.040000,187.780953,150.888515,0.800462,13.792218,217.343596,2463.943440,3.108815
0.040000,186.952334,150.919345,1.629654,20.729812,173.439834,-1097.594044,3.099960
0.040000,185.844807,150.972184,2.738441,27.719663,174.746278,32.661089,3.087823
0.040000,184.456119,151.057811,4.129766,34.783125,176.586554,46.006898,3.072105
0.040000,182.783608,151.190669,5.807545,41.944490,179.034123,61.189226,3.052403
0.040000,180.824439,151.389600,7.776788,49.231070,182.164508,78.259629,3.028203
0.040000,178.576057,151.678811,10.043694,56.672656,186.039646,96.878451,2.998857
0.040000,176.036415,152.089186,12.616279,64.314623,191.049161,125.237878,2.963565
0.040000,173.206089,152.659658,15.503524,72.181125,196.662547,140.334656,2.921378
0.040000,170.089328,153.438983,18.716241,80.317907,203.419549,168.925048,2.871203
0.040000,166.698332,154.486883,22.265458,88.730442,210.313385,172.345889,2.811886
0.040000,163.057677,155.874307,26.161522,97.401599,216.778923,161.638460,2.742369
0.040000,159.211656,157.680480,30.410538,106.225403,220.595101,95.404447,2.662009
0.040000,155.231058,159.985043,35.010122,114.989605,219.105043,-37.251462,2.571042
0.040000,151.216543,162.853591,39.944178,123.351376,209.044293,-251.518748,2.471123
0.040000,147.292032,166.319431,45.179999,130.895545,188.604225,-511.001688,2.365611
0.040000,143.584665,170.370563,50.671469,137.286753,159.780184,-720.601028,2.259259
0.040000,140.197803,174.951859,56.368758,142.432224,128.636794,-778.584746,2.157206
0.040000,137.208334,179.951273,62.193797,145.625954,79.843251,-1219.838576,2.064312
0.040000,134.648524,185.220581,68.051973,146.454410,20.711387,-1478.296599,1.983947
0.040000,132.497270,190.626547,73.870252,145.456964,-24.936151,-1141.188461,1.917248
0.040000,130.704538,196.058736,79.590615,143.009094,-61.196759,-906.515184,1.863808
0.040000,129.202094,201.458782,85.195777,140.129044,-72.001248,-270.112243,1.822211
0.040000,127.920249,206.813178,90.701472,137.642377,-62.166656,245.864801,1.790835
0.040000,126.800496,212.114866,96.120120,135.466204,-54.404326,194.058258,1.768399
0.040000,125.793089,217.359571,101.460700,133.514497,-48.792686,140.290990,1.753976
0.040000,124.854660,222.543599,106.728982,131.707054,-45.186069,90.165433,1.746972
0.040000,123.946189,227.662364,111.927740,129.968934,-43.452993,43.326903,1.747100
0.040000,123.031324,232.709272,117.056897,128.228932,-43.500067,-1.176861,1.754365
0.040000,122.075039,237.674664,122.113537,126.415989,-45.323578,-45.587773,1.769065
0.040000,121.042628,242.544598,127.091701,124.454123,-49.046643,-93.076630,1.791806
0.040000,119.899039,247.299532,131.982222,122.263019,-54.777587,-143.273594,1.823527
0.040000,118.608741,251.912699,136.772440,119.755439,-62.689518,-197.798279,1.865521
0.040000,117.136329,256.348605,141.446330,116.847256,-72.704571,-250.376310,1.919423
0.040000,115.456885,260.542540,145.964032,112.942550,-97.617644,-622.826839,1.986733
0.040000,113.567043,264.405100,150.264133,107.502527,-136.000580,-959.573392,2.067989
0.040000,111.485066,267.857016,154.295305,100.779310,-168.080415,-801.995881,2.162108
0.040000,109.249986,270.847557,158.028792,93.337156,-186.053848,-449.335822,2.265704
0.040000,106.903891,273.375683,161.477789,86.224938,-177.805462,206.209644,2.373674
0.040000,104.477951,275.480973,164.689865,80.301882,-148.076389,743.226835,2.480561
0.040000,102.000962,277.213570,167.712673,75.570201,-118.292039,744.608742,2.581491
0.040000,99.504677,278.622441,170.579091,71.660472,-97.743226,513.720340,2.673087
0.040000,97.024489,279.752631,173.304648,68.138917,-88.038874,242.608803,2.753766
0.040000,94.597447,280.645277,175.890639,64.649774,-87.228574,20.257480,2.823384
0.040000,92.258741,281.338221,178.329844,60.980112,-91.741543,-112.824210,2.882676
0.040000,90.039226,281.865999,180.611246,57.035060,-98.626305,-172.119063,2.932768
0.040000,87.964307,282.259563,182.723160,52.797862,-105.929950,-182.591110,2.974863
0.040000,86.054338,282.546027,184.654493,48.283303,-112.863980,-173.350747,3.010078
0.040000,84.324830,282.748741,186.395839,43.533666,-118.740916,-146.923401,3.039386
0.040000,82.787564,282.887423,187.939349,38.587739,-123.648182,-122.681648,3.063595
0.040000,81.451407,282.978452,189.278603,33.481360,-127.659474,-100.282322,3.083361
0.040000,80.322953,283.035204,190.408482,28.246982,-130.859434,-79.998980,3.099204
0.040000,79.407003,283.068364,191.325033,22.913759,-133.330575,-61.778532,3.111530
0.040000,78.706988,283.086207,192.025275,17.506068,-135.192282,-46.542679,3.120645
0.040000,78.225285,283.094819,192.507055,12.044481,-136.539682,-33.685004,3.126770
0.040000,77.941048,283.098526,192.791317,7.106551,-123.448247,327.285890,3.130330
0.040000,77.804830,283.099944,192.927542,3.405631,-92.523008,773.130977,3.132021
0.040000,77.761678,283.100346,192.970695,1.078837,-58.169846,858.829034,3.132555
0.040000,77.756510,283.100393,192.975863,0.129200,-23.740924,860.723056,3.132619
0.040000,77.756510,283.100393,192.975863,0.000000,-3.229997,512.773166,3.132619
