dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,188.985856,170.361566,0.030952,1.547619,38.690476,967.261905,3.119247
0.040000,188.999734,170.361246,0.044834,0.347040,-30.014469,-1717.623619,3.117823
0.040000,188.858609,170.364934,0.186007,3.529327,79.557175,2739.291085,3.114604
0.040000,188.420003,170.378041,0.624809,10.970040,186.017815,2661.515997,3.108815
0.040000,187.763942,170.402448,1.281323,16.412868,136.070709,-1248.677642,3.099960
0.040000,186.892803,170.444002,2.153453,21.803236,134.759200,-32.787724,3.087823
0.040000,185.810045,170.510752,3.238266,27.120340,132.927594,-45.790159,3.072105
0.040000,184.520503,170.613161,4.531869,32.340062,130.493055,-60.863476,3.052403
0.040000,183.030808,170.764376,6.029219,37.433744,127.342054,-78.775021,3.028203
0.040000,181.349962,170.980506,7.723903,42.367116,123.334289,-100.194118,2.998857
0.040000,179.489645,171.280987,9.608331,47.110700,118.589612,-118.616930,2.963565
0.040000,177.465649,171.688745,11.672992,51.616516,112.645379,-148.605831,2.921378
0.040000,175.297914,172.230487,13.907396,55.860106,106.089774,-163.890125,2.871203
0.040000,173.011756,172.936563,16.300106,59.817750,98.941086,-178.717192,2.811886
0.040000,170.637385,173.840888,18.840863,63.518908,92.528944,-160.303558,2.742369
0.040000,168.209155,174.980625,21.523268,67.060130,88.530552,-99.959804,2.662009
0.040000,165.762914,176.396320,24.349624,70.658904,89.969358,35.970161,2.571042
0.040000,163.332950,178.132422,27.336056,74.660801,100.047419,251.951523,2.471123
0.040000,160.950164,180.237240,30.515353,79.482417,120.540417,512.324948,2.365611
0.040000,158.643026,182.759904,33.933937,85.464602,149.554609,725.354800,2.259259
0.040000,156.439989,185.742659,37.642063,92.703163,180.964018,785.235236,2.157206
0.040000,154.381451,189.188915,41.656320,100.356428,191.331636,259.190445,2.064312
0.040000,152.507800,193.049772,45.947798,107.286949,173.263025,-451.715279,1.983947
0.040000,150.838649,197.248013,50.465684,112.947146,141.504930,-793.952376,1.917248
0.040000,149.373418,201.691046,55.144086,116.960056,100.322755,-1029.554361,1.863808
0.040000,148.089041,206.309889,59.938179,119.852323,72.306656,-700.402488,1.822211
0.040000,146.950084,211.069393,64.832064,122.347119,62.369900,-248.418903,1.790835
0.040000,145.921028,215.943085,69.813211,124.528677,54.538969,-195.773280,1.768399
0.040000,144.966844,220.911628,74.872548,126.483419,48.868550,-141.760453,1.753976
0.040000,144.052822,225.961282,80.004257,128.292738,45.232957,-90.889840,1.746972
0.040000,143.143914,231.082504,85.205510,130.031318,43.464502,-44.211383,1.747100
0.040000,142.203695,236.268790,90.476333,131.770564,43.481154,0.416320,1.754365
0.040000,141.193015,241.515622,95.819620,133.582192,45.290709,45.238863,1.769065
0.040000,140.068322,246.819289,101.241226,135.540153,48.949015,91.457645,1.791806
0.040000,138.779588,252.175482,106.750278,137.726284,54.653282,142.606681,1.823527
0.040000,137.267944,257.576987,112.359317,140.225981,62.492417,195.978382,1.865521
0.040000,135.463263,263.009949,118.084170,143.121335,72.383850,247.285814,1.919423
0.040000,133.294285,268.421447,123.914160,145.749733,65.709954,-166.847403,1.986733
0.040000,130.706079,273.705823,129.798328,147.104202,33.861725,-796.205725,2.067989
0.040000,127.674161,278.727305,135.664146,146.645447,-11.468883,-1133.265200,2.162108
0.040000,124.228180,283.333697,141.416852,143.817647,-70.694985,-1480.652538,2.265704
0.040000,120.449363,287.403163,146.970231,138.834478,-124.579234,-1347.106226,2.373674
0.040000,116.449621,290.873475,152.265606,132.384385,-161.252325,-916.827271,2.480561
0.040000,112.360772,293.733991,157.255720,124.752851,-190.788347,-738.400550,2.581491
0.040000,108.309961,296.021204,161.907645,116.298127,-211.368090,-514.493581,2.673087
0.040000,104.398943,297.804429,166.206012,107.459172,-220.973884,-240.144857,2.753766
0.040000,100.698323,299.166327,170.149279,98.581681,-221.937268,-24.084589,2.823384
0.040000,97.251385,300.188248,173.744513,89.880840,-217.521039,110.405724,2.882676
0.040000,94.081776,300.942366,177.002597,81.452096,-210.718597,170.061038,2.932768
0.040000,91.200491,301.489153,179.935305,73.317710,-203.359650,183.973684,2.974863
0.040000,88.611483,301.877633,182.553297,65.449793,-196.697928,166.543051,3.010078
0.040000,86.314396,302.146979,184.866121,57.820609,-190.729580,149.208693,3.039386
0.040000,84.306978,302.328137,186.881696,50.389380,-185.780738,123.721059,3.063595
0.040000,82.586286,302.445400,188.606380,43.117082,-181.807455,99.332086,3.083361
0.040000,81.149285,302.517688,190.045198,35.970465,-178.665426,78.550722,3.099204
0.040000,79.993140,302.559553,191.202101,28.922566,-176.197458,61.699203,3.111530
0.040000,79.115440,302.581929,192.080085,21.949610,-174.323902,46.838901,3.120645
0.040000,78.514317,302.592677,192.681305,15.030480,-172.978268,33.640847,3.126770
0.040000,78.160674,302.597289,193.034979,8.841848,-154.715785,456.562065,3.130330
0.040000,77.991468,302.599051,193.204193,4.230365,-115.287071,985.717843,3.132021
0.040000,77.937903,302.599550,193.257760,1.339177,-72.279706,1075.184127,3.132555
0.040000,77.931490,302.599607,193.264174,0.160348,-29.470721,1070.224636,3.132619
0.040000,77.931490,302.599607,193.264174,0.000000,-4.008707,636.550338,3.132619
