dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,297.415553,228.914921,0.030476,1.523810,38.095238,952.380952,3.142584
0.040000,297.410029,228.914918,0.036001,0.138114,-34.642377,-1818.440379,3.142018
0.040000,297.214803,228.914998,0.231227,4.880650,118.563398,3830.144382,3.140744
0.040000,296.705160,228.916006,0.740871,12.741096,196.511132,1948.693344,3.138485
0.040000,295.908973,228.919881,1.537067,19.904903,179.095178,-435.398856,3.134968
0.040000,294.794590,228.929996,2.651496,27.860731,198.895713,495.013385,3.130069
0.040000,293.362351,228.950986,4.083889,35.809820,198.727222,-4.212286,3.123816
0.040000,291.612741,228.988729,5.833906,43.750424,198.515094,-5.303181,3.116244
0.040000,289.546471,229.050283,7.901092,51.679664,198.230997,-7.102425,3.107398
0.040000,287.164492,229.143795,10.284906,59.595355,197.892267,-8.468257,3.097336
0.040000,284.468095,229.278399,12.984661,67.493873,197.462957,-10.732749,3.086126
0.040000,281.458915,229.464078,15.999564,75.372571,196.967459,-12.387445,3.073851
0.040000,278.139015,229.711507,19.328672,83.227696,196.378118,-14.733534,3.060607
0.040000,274.510915,230.031867,22.970888,91.055402,195.692663,-17.136370,3.046505
0.040000,270.577597,230.436629,26.924977,98.852224,194.920542,-19.303042,3.031674
0.040000,266.342534,230.937313,31.189534,106.613922,194.042460,-21.952038,3.016258
0.040000,261.809641,231.545233,35.763010,114.336903,193.074516,-24.198596,3.000414
0.040000,256.983244,232.271204,40.643701,122.017266,192.009067,-26.636224,2.984318
0.040000,251.867983,233.125259,45.829770,129.651718,190.861308,-28.693979,2.968159
0.040000,246.468709,234.116347,51.319251,137.237039,189.633012,-30.707393,2.952137
0.040000,240.790345,235.252025,57.110070,144.770484,188.336137,-32.421880,2.936467
0.040000,234.868159,236.531358,63.168864,151.469840,167.483905,-521.305809,2.921445
0.040000,228.766718,237.942557,69.431376,156.562808,127.324180,-1003.993113,2.907409
0.040000,222.548745,239.468828,75.833930,160.063847,87.525974,-994.955147,2.894639
0.040000,216.275041,241.089054,82.313475,161.988612,48.119142,-985.170823,2.883352
0.040000,210.004572,242.778689,88.807599,162.353096,9.112107,-975.175869,2.873695
0.040000,203.765019,244.519134,95.285343,161.943608,-10.237219,-483.733149,2.865720
0.040000,197.553714,246.299589,101.746792,161.536227,-10.184518,1.317540,2.859416
0.040000,191.367810,248.109447,108.192022,161.130756,-10.136765,1.193825,2.854777
0.040000,185.204335,249.938270,114.621098,160.726908,-10.096208,1.013914,2.851794
0.040000,179.060253,251.775762,121.034063,160.324121,-10.069678,0.663263,2.850465
0.040000,172.932515,253.611737,127.430936,159.921813,-10.057693,0.299624,2.850785
0.040000,166.818104,255.436086,133.811709,159.519340,-10.061841,-0.103702,2.852757
0.040000,160.714082,257.238749,140.176353,159.116085,-10.081357,-0.487919,2.856383
0.040000,154.617632,259.009688,146.524811,158.711461,-10.115613,-0.856398,2.861669
0.040000,148.526102,260.738856,152.857011,158.305000,-10.161523,-1.147743,2.868621
0.040000,142.437043,262.416184,159.172870,157.896469,-10.213264,-1.293534,2.877249
0.040000,136.360633,264.028354,165.459511,157.166012,-18.261423,-201.203955,2.887539
0.040000,130.336366,265.555467,171.674321,155.370256,-44.893903,-665.812008,2.899400
0.040000,124.420823,266.976171,177.758074,152.093818,-81.910954,-925.426278,2.912657
0.040000,118.671182,268.273137,183.652180,147.352658,-118.529003,-915.451219,2.927066
0.040000,113.145262,269.433720,189.298661,141.162034,-154.765611,-905.915202,2.942324
0.040000,107.889058,270.452683,194.652722,133.851520,-182.762836,-699.930629,2.958107
0.040000,102.919894,271.334127,199.699456,126.168358,-192.079055,-232.905482,2.974153
0.040000,98.238617,272.087047,204.440895,118.535974,-190.809589,31.736663,2.990255
0.040000,93.846131,272.721413,208.878953,110.951455,-189.612984,29.915118,3.006215
0.040000,89.743309,273.247877,213.015414,103.411519,-188.498404,27.864508,3.021851
0.040000,85.930936,273.677508,216.851919,95.912618,-187.472517,25.647179,3.036995
0.040000,82.409669,274.021533,220.389952,88.450827,-186.544767,23.193739,3.051494
0.040000,79.180000,274.291104,223.630852,81.022495,-185.708300,20.911687,3.065211
0.040000,76.242265,274.497086,226.575799,73.623683,-184.970318,18.449553,3.078026
0.040000,73.596660,274.649866,229.225811,66.250305,-184.334454,15.896592,3.089833
0.040000,71.243228,274.759197,231.581782,58.899266,-183.775958,13.962392,3.100540
0.040000,69.181915,274.834051,233.644453,51.566785,-183.312023,11.598388,3.110073
0.040000,67.412582,274.882510,235.414451,44.249929,-182.921418,9.765123,3.118366
0.040000,65.935048,274.911667,236.892272,36.945535,-182.609830,7.789690,3.125369
0.040000,64.749096,274.927552,238.078330,29.651450,-182.352146,6.442114,3.131038
0.040000,63.854526,274.935070,238.972931,22.365033,-182.160422,4.793085,3.135343
0.040000,63.238736,274.938003,239.588729,15.394940,-174.252311,197.702786,3.138320
0.040000,62.860089,274.938895,239.967377,9.466204,-148.218406,650.847621,3.140156
0.040000,62.660313,274.939085,240.167153,4.994397,-111.795180,910.580649,3.141127
0.040000,62.581182,274.939106,240.246284,1.978266,-75.403263,909.797932,3.141512
0.040000,62.564504,274.939107,240.262962,0.416948,-39.032951,909.257784,3.141593
0.040000,62.564504,274.939107,240.262962,0.000000,-10.423707,715.231107,3.141593
