dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,297.396218,248.414912,0.030476,1.523810,38.095238,952.380952,3.142584
0.040000,297.401743,248.414916,0.036001,0.138114,-34.642377,-1818.440379,3.142018
0.040000,297.231348,248.414991,0.206396,4.259874,103.043994,3442.159288,3.140744
0.040000,296.765755,248.415912,0.671989,11.639844,184.499242,2036.381194,3.138485
0.040000,296.038156,248.419453,1.399598,18.190201,163.758928,-518.507845,3.134968
0.040000,295.019292,248.428702,2.418503,25.472641,182.061000,457.551778,3.130069
0.040000,293.708978,248.447905,3.728957,32.761357,182.217906,3.922658,3.123816
0.040000,292.106993,248.482465,5.331316,40.058960,182.440070,5.554092,3.116244
0.040000,290.213134,248.538884,7.226015,47.367473,182.712825,6.818886,3.107398
0.040000,288.027216,248.624702,9.413617,54.690061,183.064692,8.796682,3.097336
0.040000,285.549137,248.748410,11.894781,62.029102,183.476020,10.283202,3.086126
0.040000,282.778871,248.919353,14.670317,69.388394,183.982314,12.657351,3.073851
0.040000,279.716517,249.147594,17.741165,76.771201,184.570166,14.696292,3.060607
0.040000,276.362324,249.443778,21.108409,84.181091,185.247256,16.927259,3.046505
0.040000,272.716688,249.818948,24.773299,91.622250,186.028975,19.542972,3.031674
0.040000,268.780174,250.284352,28.737229,99.098254,186.900103,21.778184,3.016258
0.040000,264.553490,250.851224,33.001757,106.613194,187.873501,24.334960,3.000414
0.040000,260.037472,251.530531,37.568581,114.170599,188.935113,26.540310,2.984318
0.040000,255.233018,252.332720,42.439544,121.774097,190.087445,28.808296,2.968159
0.040000,250.141027,253.267432,47.616615,129.426759,191.316569,30.728086,2.952137
0.040000,244.762299,254.343216,53.101870,137.131377,192.615438,32.471725,2.936467
0.040000,239.126453,255.560728,58.867726,144.146400,175.375586,-430.996306,2.921445
0.040000,233.291678,256.910286,64.856541,149.720385,139.349616,-900.649230,2.907409
0.040000,227.315537,258.377230,71.010092,153.838765,102.959511,-909.752626,2.894639
0.040000,221.254956,259.942448,77.269529,156.485921,66.178890,-919.515544,2.883352
0.040000,215.166307,261.583116,83.575354,157.645630,28.992716,-929.654327,2.873695
0.040000,209.076564,263.281796,89.897576,158.055548,10.247961,-468.618892,2.865720
0.040000,202.983423,265.028397,96.236107,158.463276,10.193190,-1.369274,2.859416
0.040000,196.884355,266.812862,102.590865,158.868943,10.141682,-1.287693,2.854777
0.040000,190.776636,268.625150,108.961784,159.272988,10.101140,-1.013552,2.851794
0.040000,184.657399,270.455215,115.348819,159.675868,10.071993,-0.728667,2.850465
0.040000,178.523668,272.292984,121.751947,160.078198,10.058257,-0.343417,2.850785
0.040000,172.372409,274.128322,128.171171,160.480613,10.060363,0.052661,2.852757
0.040000,166.200573,275.951003,134.606522,160.883757,10.078596,0.455810,2.856383
0.040000,160.005141,277.750679,141.058049,161.288180,10.110581,0.799633,2.861669
0.040000,153.783186,279.516850,147.525822,161.694333,10.153824,1.081067,2.868621
0.040000,147.531918,281.238836,154.009925,162.102570,10.205919,1.302384,2.877249
0.040000,141.261566,282.902433,160.497210,162.182119,1.988730,-205.429733,2.887539
0.040000,135.013085,284.486349,166.943317,161.152692,-25.735671,-693.110024,2.899400
0.040000,128.846180,285.967385,173.285572,158.556364,-64.908203,-979.313297,2.912657
0.040000,122.822436,287.326144,179.460660,154.377204,-104.478994,-989.269766,2.927066
0.040000,117.005340,288.547845,185.404662,148.600051,-144.428833,-998.745968,2.942324
0.040000,111.446985,289.625350,191.066493,141.545770,-176.357031,-798.204960,2.958107
0.040000,106.169724,290.561415,196.426129,133.990897,-188.871822,-312.869768,2.974153
0.040000,101.178454,291.364168,201.481541,126.385313,-190.139604,-31.694566,2.990255
0.040000,96.477940,292.042996,206.230819,118.731940,-191.334307,-29.867573,3.006215
0.040000,92.072694,292.608248,210.672181,111.034048,-192.447314,-27.825166,3.021851
0.040000,87.966874,293.070934,214.803990,103.295218,-193.470740,-25.585658,3.036995
0.040000,84.164216,293.442438,218.624751,95.519047,-194.404280,-23.338506,3.051494
0.040000,80.667987,293.734249,222.133137,87.709639,-195.235211,-20.773257,3.065211
0.040000,77.480979,293.957702,225.327969,79.870792,-195.971153,-18.398552,3.078026
0.040000,74.605531,294.123751,228.208207,72.005963,-196.620737,-16.239606,3.089833
0.040000,72.043521,294.242768,230.772981,64.119334,-197.165725,-13.624702,3.100540
0.040000,69.796447,294.324366,233.021536,56.213877,-197.636433,-11.767706,3.110073
0.040000,67.865453,294.377251,234.953253,48.292943,-198.023331,-9.672443,3.118366
0.040000,66.251405,294.409101,236.567616,40.359063,-198.347005,-8.091846,3.125369
0.040000,64.954909,294.426466,237.864228,32.415293,-198.594243,-6.180953,3.131038
0.040000,63.976398,294.434690,238.842773,24.463639,-198.791368,-4.928132,3.135343
0.040000,63.302552,294.437899,239.516627,16.846343,-190.432388,208.974512,3.138320
0.040000,62.888098,294.438875,239.931082,10.361385,-162.123965,707.710584,3.140156
0.040000,62.669397,294.439083,240.149783,5.467526,-122.346468,994.437411,3.141127
0.040000,62.582764,294.439106,240.236416,2.165829,-82.542423,995.101139,3.141512
0.040000,62.564504,294.439107,240.254676,0.456491,-42.733443,995.224477,3.141593
0.040000,62.564504,294.439107,240.254676,0.000000,-11.412280,783.029087,3.141593
