dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,278.792592,93.206256,0.030476,1.523810,38.095238,952.380952,3.169127
0.040000,278.802407,93.206531,0.040295,0.245459,-31.958771,-1751.350233,3.170134
0.040000,278.665601,93.202395,0.177163,3.421714,79.406385,2784.128907,3.172400
0.040000,278.217538,93.187683,0.625467,11.207600,194.647143,2881.018950,3.176432
0.040000,277.517678,93.161079,1.325833,17.509148,157.538716,-927.710683,3.182743
0.040000,276.538371,93.116416,2.306158,24.508123,174.974358,435.891051,3.191598
0.040000,275.280195,93.046249,3.566289,31.503264,174.878532,-2.395636,3.203013
0.040000,273.744011,92.940993,5.106074,38.494637,174.784335,-2.354935,3.217001
0.040000,271.930966,92.788906,6.925487,45.485320,174.767059,-0.431901,3.233568
0.040000,269.842700,92.576126,9.024565,52.476962,174.791045,0.599648,3.252705
0.040000,267.481310,92.286707,11.403625,59.476506,174.988607,4.939046,3.274384
0.040000,264.849544,91.902725,14.063256,66.490760,175.356360,9.193845,3.298543
0.040000,261.950894,91.404443,17.004422,73.529141,175.959530,15.079231,3.325079
0.040000,258.789586,90.770521,20.228663,80.606025,176.922084,24.063855,3.353840
0.040000,255.370788,89.978378,23.738031,87.734216,178.204772,32.067196,3.384610
0.040000,251.700507,89.004589,27.535297,94.931657,179.936026,43.281353,3.417108
0.040000,247.785655,87.825439,31.623874,102.214410,182.068823,53.319933,3.450982
0.040000,243.633871,86.417530,36.007881,109.600171,184.644029,64.380155,3.485810
0.040000,239.253385,84.758489,40.692011,117.103265,187.577360,73.333279,3.521112
0.040000,234.652701,82.827695,45.681426,124.735358,190.802311,80.623767,3.556359
0.040000,229.840198,80.607002,50.981582,132.503922,194.214105,85.294838,3.590992
0.040000,224.849212,78.094811,56.569162,139.689482,179.639015,-364.377242,3.624279
0.040000,219.735997,75.311033,62.391051,145.547224,146.443526,-829.887221,3.655416
0.040000,214.552791,72.285838,68.392503,150.036309,112.227126,-855.410003,3.683769
0.040000,209.347726,69.058312,74.517013,153.112759,76.911252,-882.896839,3.708882
0.040000,204.165107,65.674697,80.706390,154.734422,40.541593,-909.241481,3.730472
0.040000,199.021687,62.169533,86.930612,155.605555,21.778304,-469.082238,3.748492
0.040000,193.908207,58.561564,93.188817,156.455104,21.238731,-13.489323,3.763029
0.040000,188.814564,54.868816,99.480207,157.284756,20.741300,-12.435768,3.774166
0.040000,183.729970,51.108705,105.804092,158.097128,20.309315,-10.799627,3.781971
0.040000,178.643037,47.298168,112.159962,158.896752,19.990584,-7.968283,3.786496
0.040000,173.541878,43.453839,118.547504,159.688545,19.794820,-4.894097,3.787774
0.040000,168.414177,39.592261,124.966624,160.477998,19.736325,-1.462364,3.785813
0.040000,163.247262,35.730117,131.417450,161.270668,19.816753,2.010692,3.780600
0.040000,158.028190,31.884472,137.900328,162.071946,20.031950,5.379928,3.772097
0.040000,152.743840,28.073038,144.415801,162.886814,20.371720,8.494244,3.760250
0.040000,147.381067,24.314453,150.964563,163.719066,20.806288,10.864207,3.744986
0.040000,141.926885,20.628527,157.547432,164.571710,21.316097,12.745225,3.726220
0.040000,136.368754,17.036512,164.165240,165.445204,21.837345,13.031197,3.703867
0.040000,130.713830,13.572523,170.796785,165.788627,8.585587,-331.293957,3.677938
0.040000,125.000193,10.285922,177.388249,164.786591,-25.050901,-840.912200,3.648667
0.040000,119.281143,7.226150,183.874368,162.152971,-65.840490,-1019.739716,3.616497
0.040000,113.617934,4.434875,190.188095,157.843182,-107.744731,-1047.606024,3.582052
0.040000,108.079880,1.943626,196.260686,151.814789,-150.709820,-1074.127232,3.546135
0.040000,102.722581,-0.236216,202.044488,144.595045,-180.493620,-744.594989,3.509545
0.040000,97.575016,-2.114009,207.523861,136.984324,-190.268019,-244.359986,3.472923
0.040000,92.657217,-3.707741,212.693458,129.239920,-193.610089,-83.551740,3.436817
0.040000,87.988356,-5.039013,217.548408,121.373760,-196.654019,-76.098247,3.401728
0.040000,83.585929,-6.132131,222.084516,113.402691,-199.276723,-65.567614,3.368088
0.040000,79.465280,-7.013080,226.298281,105.344128,-201.464077,-54.683848,3.336253
0.040000,75.639281,-7.708546,230.186976,97.217371,-203.168911,-42.620840,3.306505
0.040000,72.118336,-8.245004,233.748554,89.039440,-204.448280,-31.984235,3.279054
0.040000,68.910499,-8.647956,236.981600,80.826171,-205.331732,-22.086292,3.254044
0.040000,66.021773,-8.941333,239.885185,72.589623,-205.913686,-14.548855,3.231568
0.040000,63.456348,-9.147071,242.458847,64.341540,-206.202079,-7.209818,3.211675
0.040000,61.217009,-9.284811,244.702418,56.089286,-206.306343,-2.606614,3.194383
0.040000,59.305504,-9.371726,246.615898,47.837002,-206.307119,-0.019404,3.179688
0.040000,57.722742,-9.422446,248.199472,39.589348,-206.191345,2.894367,3.167573
0.040000,56.469143,-9.449026,249.453353,31.347024,-206.058104,3.331025,3.158016
0.040000,55.544781,-9.460959,250.377793,23.110981,-205.901070,3.925849,3.150991
0.040000,54.926859,-9.465319,250.995730,15.448427,-191.563854,358.430399,3.146307
0.040000,54.559649,-9.466540,251.362942,9.180311,-156.702881,871.524314,3.143527
0.040000,54.377290,-9.466767,251.545301,4.558978,-115.533331,1029.238765,3.142148
0.040000,54.313909,-9.466787,251.608682,1.584512,-74.361666,1029.291615,3.141669
0.040000,54.303752,-9.466787,251.618839,0.253927,-33.264610,1027.426390,3.141593
0.040000,54.303752,-9.466787,251.618839,0.000000,-6.348180,672.910755,3.141593
