dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,278.255741,112.698865,0.030476,1.523810,38.095238,952.380952,3.169127
0.040000,278.245927,112.698590,0.040295,0.245459,-31.958771,-1751.350233,3.170134
0.040000,278.064951,112.693142,0.221353,4.526450,107.024790,3474.589043,3.172400
0.040000,277.538302,112.675849,0.748285,13.173314,216.171586,2728.669881,3.176432
0.040000,276.715468,112.644571,1.571713,20.585705,185.309788,-771.544941,3.182743
0.040000,275.563665,112.592040,2.724713,28.824998,205.982329,516.813528,3.191598
0.040000,274.083247,112.509479,4.207432,37.067962,206.074085,2.293896,3.203013
0.040000,272.274945,112.385577,6.019974,45.313551,206.139719,1.640850,3.217001
0.040000,270.139983,112.206485,8.162434,53.561503,206.198813,1.477348,3.233568
0.040000,267.680463,111.955876,10.634689,61.806370,206.121671,-1.928537,3.252705
0.040000,264.899486,111.615032,13.436476,70.044682,205.957799,-4.096802,3.274384
0.040000,261.801569,111.163043,16.567192,78.267905,205.580565,-9.430863,3.298543
0.040000,258.392953,110.577107,20.025802,86.465235,204.933269,-16.182400,3.325079
0.040000,254.681775,109.832942,23.810854,94.626314,204.026968,-22.657520,3.353840
0.040000,250.678462,108.905398,27.920217,102.734063,202.693715,-33.331335,3.384610
0.040000,246.395673,107.769150,32.351169,110.773803,200.993519,-42.504898,3.417108
0.040000,241.848361,106.399576,37.100250,118.727043,198.830986,-54.063328,3.450982
0.040000,237.053397,104.773656,42.163381,126.578270,196.280689,-63.757422,3.485810
0.040000,232.029135,102.870922,47.535868,134.312164,193.347342,-73.333675,3.521112
0.040000,226.794663,100.674299,53.212561,141.917327,190.129079,-80.456563,3.556359
0.040000,221.368915,98.170810,59.188028,149.386676,186.733733,-84.883651,3.590992
0.040000,215.798093,95.366963,65.424662,155.915858,163.229537,-587.604895,3.624279
0.040000,210.151546,92.293033,71.853702,160.725981,120.253069,-1074.411706,3.655416
0.040000,204.490764,88.989299,78.408021,163.857984,78.300088,-1048.824519,3.683769
0.040000,198.869445,85.503847,85.022218,165.354939,37.423877,-1021.905283,3.708882
0.040000,193.334237,81.890190,91.632592,165.259348,-2.389786,-995.341588,3.730472
0.040000,187.900385,78.187231,98.208203,164.390267,-21.727015,-483.430720,3.748492
0.040000,182.555234,74.415901,104.749882,163.541977,-21.207263,12.993800,3.763029
0.040000,177.285738,70.595741,111.258431,162.713720,-20.706426,12.520942,3.774166
0.040000,172.078748,66.745170,117.734513,161.902058,-20.291547,10.371974,3.781971
0.040000,166.921169,62.881742,124.178635,161.103034,-19.975602,7.898618,3.786496
0.040000,161.800106,59.022422,130.591094,160.311497,-19.788431,4.679273,3.787774
0.040000,156.702957,55.183840,136.971975,159.522023,-19.736846,1.289635,3.785813
0.040000,151.617490,51.382541,143.321136,158.729023,-19.824994,-2.203710,3.780600
0.040000,146.531917,47.635208,149.638220,157.927099,-20.048103,-5.577721,3.772097
0.040000,141.434968,43.958863,155.922677,157.111430,-20.391715,-8.590310,3.760250
0.040000,136.315991,40.371043,162.173788,156.277758,-20.841816,-11.252511,3.744986
0.040000,131.165048,36.889919,168.390735,155.423691,-21.351673,-12.746432,3.726220
0.040000,125.973073,33.534386,174.572662,154.548157,-21.888352,-13.416977,3.703867
0.040000,120.749366,30.334369,180.698609,153.148679,-34.986940,-327.464694,3.677938
0.040000,115.530559,27.332214,186.719313,150.517595,-65.777104,-769.754119,3.648667
0.040000,110.364709,24.568214,192.578127,146.470355,-101.180996,-885.097287,3.616497
0.040000,105.304007,22.073713,198.220222,141.052377,-135.449439,-856.711078,3.582052
0.040000,100.404708,19.869633,203.592475,134.306317,-168.651507,-830.051699,3.546135
0.040000,95.708313,17.958565,208.662811,126.758405,-188.697812,-501.157633,3.509545
0.040000,91.231648,16.325397,213.428077,119.131659,-190.668634,-49.270553,3.472923
0.040000,86.983597,14.948627,217.893661,111.639594,-187.301640,84.174856,3.436817
0.040000,82.972726,13.804910,222.064413,104.268799,-184.269870,75.794265,3.401728
0.040000,79.206940,12.869828,225.944558,97.003620,-181.629478,66.009792,3.368088
0.040000,75.693334,12.118633,229.537568,89.825258,-179.459053,54.260634,3.336253
0.040000,72.438046,11.526892,232.846201,82.715829,-177.735729,43.083095,3.306505
0.040000,69.446281,11.071055,235.872494,75.657311,-176.462941,31.819692,3.279054
0.040000,66.722316,10.728883,238.617866,68.634306,-175.575121,22.195513,3.254044
0.040000,64.269617,10.479788,241.083181,61.632887,-175.035471,13.491241,3.231568
0.040000,62.090855,10.305061,243.268938,54.643915,-174.724311,7.779006,3.211675
0.040000,60.188073,10.188024,245.175316,47.659454,-174.611519,2.819780,3.194383
0.040000,58.562821,10.114125,246.802247,40.673283,-174.654274,-1.068855,3.179688
0.040000,57.216175,10.070973,248.149585,33.683438,-174.746139,-2.296627,3.167573
0.040000,56.148906,10.048345,249.217093,26.687702,-174.893400,-3.681543,3.158016
0.040000,55.361511,10.038180,250.004554,19.686516,-175.029645,-3.406112,3.150991
0.040000,54.834934,10.034464,250.531145,13.164774,-163.043533,299.652810,3.146307
0.040000,54.521920,10.033424,250.844160,7.825386,-133.484707,738.970650,3.143527
0.040000,54.366451,10.033230,250.999629,3.886727,-98.466469,875.455932,3.142148
0.040000,54.312412,10.033213,251.053668,1.350961,-63.394155,876.807866,3.141669
0.040000,54.303752,10.033213,251.062328,0.216504,-28.361430,875.818123,3.141593
0.040000,54.303752,10.033213,251.062328,0.000000,-5.412601,573.720725,3.141593
