dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,57.842539,123.323527,0.028280,1.414017,35.350420,883.760496,0.000157
0.040000,57.933834,123.323506,0.119575,2.282378,21.709041,-341.034467,6.282709
0.040000,58.201998,123.323190,0.387739,6.704096,110.542946,2220.847624,6.281310
0.040000,58.648148,123.321848,0.833892,11.153805,111.242722,17.494388,6.279059
0.040000,59.271104,123.318339,1.456857,15.574144,110.508472,-18.356245,6.276077
0.040000,60.069214,123.311230,2.254999,19.953531,109.484671,-25.595015,6.272531
0.040000,61.040362,123.298953,3.226225,24.280656,108.178128,-32.663586,6.268636
0.040000,62.181980,123.280006,4.368000,28.544377,106.593023,-39.627624,6.264652
0.040000,63.491056,123.253181,5.677351,32.733775,104.734952,-46.451761,6.260884
0.040000,64.964154,123.217828,7.150872,36.838037,102.606561,-53.209794,6.257682
0.040000,66.597421,123.174142,8.784724,40.846298,100.206515,-60.001139,6.255438
0.040000,68.386600,123.123474,10.574620,44.747402,97.527604,-66.972766,6.254594
0.040000,70.327008,123.068657,12.515802,48.529537,94.553359,-74.356127,6.255636
0.040000,72.413494,123.014352,14.602995,52.179824,91.257178,-82.404532,6.259106
0.040000,74.640355,122.967410,16.830351,55.683900,87.601899,-91.381990,6.265603
0.040000,77.001184,122.937243,19.191372,59.025542,83.541069,-101.520745,6.275793
0.040000,79.488654,122.936192,21.678842,62.186746,79.030096,-112.774315,0.007232
0.040000,82.094223,122.979885,24.284778,65.148398,74.041303,-124.719818,0.027106
0.040000,84.807786,123.087528,27.000475,67.892415,68.600408,-136.022373,0.053123
0.040000,87.617309,123.282080,29.816726,70.406291,62.846919,-143.837236,0.086224
0.040000,90.508586,123.590240,32.724379,72.691318,57.125660,-143.031482,0.127346
0.040000,93.441593,124.037927,35.691356,74.174422,37.077607,-501.201318,0.176876
0.040000,96.353301,124.643035,38.665276,74.347999,4.339420,-818.454682,0.234180
0.040000,99.165243,125.406675,41.579064,72.844707,-37.582292,-1048.042788,0.297231
0.040000,101.811992,126.312631,44.376570,69.937652,-72.676370,-877.351949,0.363094
0.040000,104.261440,127.336138,47.031256,66.367147,-89.262628,-414.656461,0.428899
0.040000,106.507766,128.450767,49.538920,62.691604,-91.888579,-65.648781,0.492385
0.040000,108.325460,129.493504,51.634466,52.388638,-257.574160,-4142.139503,0.578242
0.040000,109.452059,130.364158,53.058286,35.595501,-419.828418,-4056.356471,0.718013
0.040000,110.803325,131.654677,54.926804,46.712952,277.936276,17444.117362,0.794840
0.040000,112.303361,133.238004,57.107867,54.526576,195.340604,-2064.891812,0.822247
0.040000,113.932533,134.982270,59.494635,59.669200,128.565593,-1669.375260,0.811159
0.040000,115.703368,136.777383,62.016200,63.039124,84.248098,-1107.937391,0.768824
0.040000,117.630572,138.525182,64.617914,65.042840,50.092911,-853.879658,0.700834
0.040000,119.704881,140.129835,67.240445,65.563271,13.010769,-927.053558,0.613270
0.040000,121.873900,141.503433,69.807820,64.184385,-34.472158,-1187.073182,0.513938
0.040000,124.042291,142.587028,72.231886,60.601663,-89.568042,-1377.397085,0.411901
0.040000,126.097453,143.369775,74.431064,54.979441,-140.555559,-1274.687919,0.315547
0.040000,127.943810,143.886977,76.348493,47.935719,-176.093055,-888.437413,0.230716
0.040000,129.521561,144.199205,77.956842,40.208718,-193.175009,-427.048859,0.160206
0.040000,130.804473,144.369891,79.251058,32.355418,-196.332508,-78.937465,0.104529
0.040000,131.787817,144.452375,80.237855,24.669914,-192.137583,104.873120,0.062989
0.040000,132.476718,144.485960,80.927575,17.242998,-185.672905,161.616962,0.034521
0.040000,132.881784,144.496601,81.332780,10.130130,-177.821720,196.279622,0.018036
0.040000,133.058330,144.499156,81.509344,4.414111,-142.900462,873.031444,0.010913
0.040000,133.101554,144.499590,81.552571,1.080665,-83.336139,1489.108085,0.009174
0.040000,133.101554,144.499590,81.552571,0.000000,-27.016637,1407.987541,0.009174
