dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,57.844560,103.823528,0.026825,1.341240,33.531004,838.275091,0.000050
0.040000,57.921919,103.823522,0.104184,1.933976,14.818390,-467.815334,6.283046
0.040000,58.159333,103.823440,0.341598,5.935351,100.034377,2130.399655,6.282635
0.040000,58.555415,103.823093,0.737680,9.902065,99.167851,-21.663148,6.281990
0.040000,59.110754,103.822197,1.293020,13.883487,99.535559,9.192711,6.281172
0.040000,59.826171,103.820422,2.008439,17.885477,100.049753,12.854842,6.280264
0.040000,60.702721,103.817454,2.884994,21.913873,100.709903,16.503760,6.279375
0.040000,61.741692,103.813083,3.923974,25.974503,101.515749,20.146135,6.278638
0.040000,62.944605,103.807309,5.126902,30.073196,102.467320,23.789282,6.278209
0.040000,64.313221,103.800471,6.495534,34.215807,103.565264,27.448598,6.278267
0.040000,65.849535,103.793399,8.031864,38.408253,104.811147,31.147085,6.279017
0.040000,67.555787,103.787589,9.738127,42.656563,106.207758,34.915285,6.280689
0.040000,69.434463,103.785410,11.616804,46.966938,107.759381,38.790562,0.000352
0.040000,71.488290,103.790341,13.670637,51.345808,109.471744,42.809083,0.004656
0.040000,73.720221,103.807241,15.902631,55.799868,111.351511,46.994168,0.010727
0.040000,76.133405,103.842659,18.316076,60.336112,113.406089,51.364449,0.018901
0.040000,78.731121,103.905183,20.914544,64.961710,115.639950,55.846529,0.029544
0.040000,81.516656,104.005841,23.701898,69.683834,118.053098,60.328693,0.043054
0.040000,84.493109,104.158527,26.682264,74.509147,120.632840,64.493541,0.059854
0.040000,87.663069,104.380464,29.859984,79.443003,123.346380,67.838518,0.080389
0.040000,91.028140,104.692657,33.239505,84.488039,126.125920,69.488506,0.105118
0.040000,94.559213,105.116349,36.795907,88.910038,110.549962,-389.398952,0.134236
0.040000,98.189142,105.667136,40.467385,91.786954,71.922902,-965.676503,0.167453
0.040000,101.817754,106.347756,44.159277,92.297312,12.758957,-1479.098643,0.203859
0.040000,105.347884,107.147632,47.778893,90.490400,-45.172808,-1448.294110,0.242198
0.040000,108.716977,108.049628,51.266641,87.193679,-82.418015,-931.130177,0.281314
0.040000,111.893198,109.034505,54.592053,83.135299,-101.459520,-476.037633,0.320287
0.040000,114.870337,110.085318,57.749197,78.928615,-105.167084,-92.689093,0.358507
0.040000,118.015284,111.399746,61.157777,85.214495,157.147000,6557.852095,0.441357
0.040000,120.765950,112.818182,64.252631,77.371348,-196.078691,-8830.642262,0.506240
0.040000,123.010433,114.113017,66.843828,64.779937,-314.785268,-2967.664440,0.535927
0.040000,124.860906,115.219125,68.999686,53.896443,-272.087348,1067.448014,0.537462
0.040000,126.394395,116.115621,70.776001,44.407878,-237.214118,871.830746,0.516580
0.040000,127.661734,116.806824,72.219576,36.089375,-207.962593,731.288110,0.478084
0.040000,128.699481,117.313474,73.374398,28.870554,-180.470521,687.301811,0.426484
0.040000,129.539299,117.666728,74.285487,22.777211,-152.333563,703.423944,0.366394
0.040000,130.212742,117.901840,74.998791,17.832606,-123.615127,717.960902,0.302525
0.040000,130.751124,118.051984,75.557717,13.973160,-96.486156,678.224286,0.239327
0.040000,131.182313,118.144149,75.998646,11.023227,-73.748332,568.445606,0.180531
0.040000,131.527542,118.198099,76.348065,8.735472,-57.193861,413.861765,0.128854
0.040000,131.800342,118.227552,76.622451,6.859638,-46.895857,257.450105,0.085988
0.040000,132.007673,118.241968,76.830282,5.195771,-41.596660,132.479918,0.052801
0.040000,132.152109,118.247924,76.974841,3.613971,-39.545004,51.291403,0.029633
0.040000,132.236076,118.249849,77.058830,2.099729,-37.856052,42.223807,0.016213
0.040000,132.271857,118.250327,77.094614,0.894604,-30.128133,193.197971,0.010515
0.040000,132.280289,118.250410,77.103047,0.210828,-17.094410,325.843070,0.009174
0.040000,132.280289,118.250410,77.103047,0.000000,-5.270689,295.593026,0.009174
