dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,57.845532,223.324000,0.027569,1.378438,34.460945,861.523618,6.283036
0.040000,57.923827,223.324019,0.105863,1.957367,14.473242,-499.692560,0.000487
0.040000,58.158250,223.324299,0.340287,5.860583,97.580377,2077.678361,0.001892
0.040000,58.549797,223.325485,0.731835,9.788713,98.203271,15.572353,0.004147
0.040000,59.099721,223.328594,1.281768,13.748318,98.990104,19.670831,0.007122
0.040000,59.809763,223.334921,1.991838,17.751762,100.086117,27.400320,0.010639
0.040000,60.682140,223.345911,2.864285,21.811163,101.485010,34.972332,0.014466
0.040000,61.719536,223.362987,3.901821,25.938411,103.181207,42.404915,0.018327
0.040000,62.925098,223.387334,5.107629,30.145196,105.169636,49.710731,0.021895
0.040000,64.302444,223.419636,6.485354,34.443121,107.448114,56.961953,0.024796
0.040000,65.855682,223.459763,8.039110,38.843898,110.019425,64.282772,0.026607
0.040000,67.589441,223.506389,9.773496,43.359645,112.893666,71.856020,0.026858
0.040000,69.508918,223.556543,11.693628,48.003312,116.091674,79.950211,0.025024
0.040000,71.619926,223.605074,13.805194,52.789146,119.645857,88.854574,0.020520
0.040000,73.928925,223.644002,16.114521,57.733168,123.600561,98.867601,0.012698
0.040000,76.443002,223.661735,18.628660,62.853482,128.007848,110.182162,0.000834
0.040000,79.169734,223.642122,21.355462,68.170059,132.914414,122.664156,6.267308
0.040000,82.116825,223.563331,24.303606,73.703600,138.338528,135.602862,6.244857
0.040000,85.291343,223.396557,27.482502,79.472395,144.219890,147.034032,6.215699
0.040000,88.698311,223.104690,30.901950,85.486186,150.344755,153.121621,6.178826
0.040000,92.338326,222.641238,34.571349,91.734987,156.220045,146.882260,6.133270
0.040000,96.172401,221.956666,38.466060,97.367764,140.819407,-385.015958,6.078725
0.040000,100.112934,221.011906,42.518266,101.305148,98.434615,-1059.619788,6.016116
0.040000,104.027903,219.797378,46.617298,102.475801,29.266320,-1729.207380,5.947936
0.040000,107.784857,218.339293,50.647275,100.749420,-43.159523,-1810.646071,5.877600
0.040000,111.293846,216.686564,54.526001,96.968151,-94.531733,-1284.305243,5.808267
0.040000,114.509917,214.896293,58.206786,92.019638,-123.712815,-729.527051,5.742283
0.040000,118.228365,212.232329,62.781014,114.355691,558.401327,17052.853537,5.564488
0.040000,121.123058,209.273883,66.920055,103.476023,-271.991707,-20759.825848,5.417254
0.040000,123.136401,206.700187,70.187693,81.690946,-544.626931,-6815.880588,5.342737
0.040000,124.623449,204.603297,72.758346,64.266334,-435.615303,2725.290686,5.322814
0.040000,125.777641,202.979573,74.750490,49.803615,-361.567977,1851.183142,5.345260
0.040000,126.683242,201.806605,76.232370,37.046990,-318.915615,1066.309062,5.403059
0.040000,127.365461,201.043128,77.256244,25.596861,-286.253219,816.559900,5.490856
0.040000,127.833396,200.612862,77.891928,15.892077,-242.619614,1090.840135,5.601502
0.040000,128.118842,200.405955,78.244475,8.813682,-176.959871,1641.493571,5.724232
0.040000,128.289142,200.312356,78.438801,4.858158,-98.888109,1951.794039,5.846235
0.040000,128.419973,200.259886,78.579762,3.524025,-33.353305,1638.370109,5.956751
0.040000,128.559400,200.220187,78.724730,3.624208,2.504577,896.447037,6.049892
0.040000,128.718691,200.188889,78.887068,4.058429,10.855513,208.773416,6.124289
0.040000,128.885478,200.167220,79.055256,4.204707,3.656960,-179.963828,6.181120
0.040000,129.039340,200.154770,79.209621,3.859133,-8.639366,-307.408157,6.222406
0.040000,129.161083,200.149087,79.331496,3.046879,-20.306339,-291.674316,6.250060
0.040000,129.237761,200.147156,79.408199,1.917554,-28.233128,-198.169725,6.265758
0.040000,129.272076,200.146673,79.442517,0.857955,-26.489971,43.578923,6.272418
0.040000,129.280446,200.146590,79.450887,0.209262,-16.217326,256.816109,6.274011
0.040000,129.280446,200.146590,79.450887,0.000000,-5.231555,274.644296,6.274011
