dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,57.842617,203.824000,0.027569,1.378438,34.460945,861.523618,6.283036
0.040000,57.933329,203.824022,0.118281,2.267811,22.234338,-305.665161,0.000487
0.040000,58.195144,203.824334,0.380096,6.545361,106.938731,2117.609816,0.001892
0.040000,58.630656,203.825653,0.815610,10.887859,108.562456,40.593121,0.004147
0.040000,59.238601,203.829088,1.423564,15.198859,107.775009,-19.686164,0.007122
0.040000,60.017211,203.836024,2.202206,19.466038,106.679476,-27.388327,0.010639
0.040000,60.964226,203.847951,3.149296,23.677259,105.280519,-34.973938,0.014466
0.040000,62.076901,203.866262,4.262122,27.820634,103.584386,-42.403324,0.018327
0.040000,63.352020,203.892008,5.537501,31.884474,101.595984,-49.710031,0.021895
0.040000,64.785913,203.925631,6.971788,35.857181,99.317682,-56.957548,0.024796
0.040000,66.374465,203.966665,8.560870,39.727050,96.746718,-64.274114,0.026607
0.040000,68.113114,204.013421,10.300147,43.481940,93.872258,-71.861486,0.026858
0.040000,69.996827,204.062648,12.184503,47.108888,90.673706,-79.963799,0.025024
0.040000,72.020036,204.109179,14.208247,50.593605,87.117914,-88.894806,0.020520
0.040000,74.176529,204.145574,16.365047,53.920004,83.159980,-98.948345,0.012698
0.040000,76.459268,204.161742,18.647844,57.069905,78.747532,-110.311197,0.000834
0.040000,78.860133,204.144580,21.048770,60.023164,73.831461,-122.901799,6.267308
0.040000,81.369596,204.077653,23.559125,62.758886,68.393053,-135.960177,6.244857
0.040000,83.976351,203.940946,26.169463,65.258426,62.488491,-147.614072,6.215699
0.040000,86.666994,203.710780,28.869932,67.511737,56.332791,-153.892483,6.178826
0.040000,89.425909,203.359956,31.651063,69.528269,50.413284,-147.987691,6.133270
0.040000,92.213154,202.862835,34.482293,70.780758,31.312247,-477.525925,6.078725
0.040000,94.966763,202.203213,37.313806,70.787811,0.176318,-778.398226,6.016116
0.040000,97.612317,201.382975,40.083598,69.244809,-38.575052,-968.784251,5.947936
0.040000,100.090998,200.421298,42.742297,66.467474,-69.433382,-771.458234,5.877600
0.040000,102.377169,199.344624,45.269311,63.175363,-82.302773,-321.734786,5.808267
0.040000,104.469170,198.180031,47.663627,59.857899,-82.936601,-15.845688,5.742283
0.040000,105.389473,197.555379,48.775899,27.806784,-801.277860,-17958.531486,5.564488
0.040000,106.269926,196.639230,50.046539,31.766007,98.980561,22506.460542,5.417254
0.040000,107.383862,195.206384,51.861450,45.372773,340.169149,6029.714697,5.342737
0.040000,108.645061,193.425592,54.043614,54.554106,229.533331,-2765.895454,5.322814
0.040000,110.054155,191.446058,56.473449,60.745883,154.794427,-1868.472591,5.345260
0.040000,111.652269,189.384050,59.082252,65.220057,111.854358,-1073.501749,5.403059
0.040000,113.481637,187.350450,61.817597,68.383637,79.089490,-819.121681,5.490856
0.040000,115.546425,185.470857,64.609768,69.804269,35.515798,-1089.342299,5.601502
0.040000,117.778016,183.873644,67.354051,68.607063,-29.930149,-1636.148691,5.724232
0.040000,120.037167,182.644450,69.925953,64.297567,-107.737397,-1945.181200,5.846235
0.040000,122.166949,181.789648,72.220873,57.372990,-173.114426,-1634.425729,5.956751
0.040000,124.051336,181.248436,74.181440,49.014182,-208.970191,-896.394107,6.049892
0.040000,125.633226,180.934542,75.794173,40.318325,-217.396437,-210.656152,6.124289
0.040000,126.898665,180.768701,77.070433,31.906492,-210.295821,177.515389,6.181120
0.040000,127.854880,180.690777,78.029817,23.984608,-198.047105,306.217903,6.222406
0.040000,128.515251,180.659785,78.690915,16.527450,-186.428940,290.454136,6.250060
0.040000,128.897943,180.650117,79.073730,9.570362,-173.927203,312.543429,6.265758
0.040000,129.062123,180.647803,79.237925,4.104894,-136.636715,932.262187,6.272418
0.040000,129.101554,180.647410,79.277359,0.985838,-77.976398,1466.507916,6.274011
0.040000,129.101554,180.647410,79.277359,0.000000,-24.645943,1333.261389,6.274011
