dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.636642,35.995576,0.001838,0.073529,1.470588,29.411765,0.000321
0.050000,10.636849,35.995576,0.002045,0.004127,-1.388046,-57.172688,0.000300
0.050000,10.637313,35.995576,0.002509,0.009280,0.103050,29.821932,0.000253
0.050000,10.638136,35.995576,0.003332,0.016475,0.143915,0.817292,0.000168
0.050000,10.639421,35.995577,0.004617,0.025687,0.184234,0.806384,0.000037
0.050000,10.694681,35.995572,0.059877,1.105213,21.590517,428.125648,6.283033
0.050000,10.787253,35.995546,0.152449,1.851430,14.924347,-133.323393,6.282777
0.050000,10.908143,35.995477,0.273338,2.417792,11.327230,-71.942333,6.282444
0.050000,11.061111,35.995331,0.426307,3.059373,12.831634,30.088067,6.282026
0.050000,11.249912,35.995064,0.615108,3.776022,14.332967,30.026657,6.281516
0.050000,11.478288,35.994613,0.843484,4.567520,15.829965,29.939971,6.280906
0.050000,11.749968,35.993897,1.115166,5.433632,17.322236,29.845425,6.280190
0.050000,12.068671,35.992810,1.433871,6.374100,18.809365,29.742573,6.279365
0.050000,12.438095,35.991225,1.803298,7.388540,20.288800,29.588706,6.278429
0.050000,12.861920,35.988986,2.227128,8.476612,21.761447,29.452929,6.277380
0.050000,13.343800,35.985908,2.709018,9.637795,23.223643,29.243920,6.276220
0.050000,13.885486,35.981791,3.250720,10.834040,23.924911,14.025356,6.274960
0.050000,14.486828,35.976437,3.852086,12.027323,23.865661,-1.184998,6.273613
0.050000,15.147658,35.969640,4.512951,13.217292,23.799381,-1.325590,6.272197
0.050000,15.867793,35.961193,5.233136,14.403694,23.728033,-1.426964,6.270730
0.050000,16.647033,35.950898,6.012444,15.586162,23.649353,-1.573596,6.269233
0.050000,17.485164,35.938564,6.850665,16.764427,23.565303,-1.680993,6.267726
0.050000,18.381954,35.924020,7.747573,17.938158,23.474635,-1.813365,6.266233
0.050000,19.337158,35.907119,8.702926,19.107070,23.378235,-1.928000,6.264779
0.050000,20.350515,35.887748,9.716469,20.270849,23.275584,-2.053020,6.263390
0.050000,21.421751,35.865829,10.787929,21.429201,23.167033,-2.171028,6.262094
0.050000,22.550576,35.841335,11.917020,22.581816,23.052294,-2.294765,6.260920
0.050000,23.736688,35.814295,13.103439,23.728394,22.931555,-2.414785,6.259900
0.050000,24.979768,35.784800,14.346870,24.868616,22.804448,-2.542149,6.259065
0.050000,26.279489,35.753016,15.646979,26.002174,22.671156,-2.665839,6.258451
0.050000,27.635503,35.719193,17.003416,27.128731,22.531146,-2.800190,6.258092
0.050000,29.047454,35.683672,18.415813,28.247957,22.384510,-2.932730,6.258027
0.050000,30.514969,35.646900,19.883788,29.359494,22.230743,-3.075341,6.258295
0.050000,32.037656,35.609434,21.406937,30.462972,22.069571,-3.223438,6.258938
0.050000,33.613288,35.572003,22.983012,31.521517,21.170902,-17.973382,6.259996
0.050000,35.237813,35.535498,24.607948,32.498714,19.543933,-32.539368,6.261511
0.050000,36.907200,35.500924,26.277693,33.394895,17.923617,-32.406332,6.263521
0.050000,38.617433,35.469392,27.988217,34.210484,16.311782,-32.236691,6.266061
0.050000,40.364515,35.442110,29.735511,34.945884,14.708004,-32.075567,6.269167
0.050000,42.144462,35.420370,31.515592,35.601608,13.114482,-31.870443,6.272869
0.050000,43.953308,35.405536,33.324498,36.178129,11.530424,-31.681164,6.277197
0.050000,45.787099,35.399027,35.158301,36.676049,9.958396,-31.440551,6.282176
0.050000,47.641892,35.402302,37.013097,37.095917,8.397360,-31.220726,0.004645
0.050000,49.513757,35.416837,38.885018,37.438432,6.850300,-30.941200,0.010993
0.050000,51.398774,35.444109,40.770233,37.704294,5.317233,-30.661337,0.018052
0.050000,53.293034,35.485572,42.664946,37.894260,3.799323,-30.358195,0.025834
0.050000,55.192639,35.542634,44.565408,38.009246,2.299721,-29.992039,0.034346
