dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.639777,26.245577,0.000239,0.023881,1.194030,59.701493,6.282927
0.020000,10.639777,26.245577,0.001194,0.071642,2.388060,59.701493,6.282931
0.020000,10.639777,26.245577,0.003343,0.143284,3.582090,59.701493,6.282939
0.020000,10.639777,26.245577,0.007164,0.238806,4.776119,59.701493,6.282954
0.020000,10.639777,26.245577,0.013134,0.358209,5.970149,59.701493,6.282977
0.020000,10.639777,26.245577,0.021731,0.501493,7.164179,59.701493,6.283010
0.020000,10.639777,26.245577,0.033433,0.668657,8.358209,59.701493,6.283055
0.020000,10.639777,26.245577,0.048716,0.859701,9.552239,59.701493,6.283114
0.020000,10.640718,26.245577,0.068060,1.074627,10.746269,59.701493,0.000004
0.020000,10.664599,26.245578,0.091940,1.313433,11.940299,59.701493,0.000096
0.020000,10.693494,26.245582,0.120836,1.576119,13.134328,59.701493,0.000207
0.020000,10.727882,26.245592,0.155224,1.862687,14.328358,59.701493,0.000340
0.020000,10.768240,26.245608,0.195582,2.173134,15.522388,59.701493,0.000496
0.020000,10.815047,26.245636,0.242388,2.507463,16.716418,59.701493,0.000677
0.020000,10.868778,26.245678,0.296119,2.865672,17.910448,59.701493,0.000884
0.020000,10.929912,26.245739,0.357254,3.247761,19.104478,59.701493,0.001120
0.020000,10.998927,26.245826,0.426269,3.653731,20.298507,59.701493,0.001387
0.020000,11.076300,26.245945,0.503642,4.083582,21.492537,59.701493,0.001686
0.020000,11.162509,26.246104,0.589851,4.537313,22.686567,59.701493,0.002018
0.020000,11.258031,26.246315,0.685373,5.014925,23.880597,59.701493,0.002387
0.020000,11.363344,26.246587,0.790687,5.516418,25.074627,59.701493,0.002794
0.020000,11.478926,26.246936,0.906269,6.041791,26.268657,59.701493,0.003240
0.020000,11.605253,26.247376,1.032597,6.591045,27.462687,59.701493,0.003727
0.020000,11.742804,26.247925,1.170149,7.164179,28.656716,59.701493,0.004258
0.020000,11.892057,26.248604,1.319403,7.761194,29.850746,59.701493,0.004834
0.020000,12.053487,26.249435,1.480836,8.382090,31.044776,59.701493,0.005457
0.020000,12.227574,26.250443,1.654925,9.026866,32.238806,59.701493,0.006128
