dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.642911,16.495577,0.001838,0.073529,1.470588,29.411765,0.000321
0.050000,10.642705,16.495577,0.002045,0.004127,-1.388046,-57.172688,0.000300
0.050000,10.642241,16.495577,0.002509,0.009280,0.103050,29.821932,0.000253
0.050000,10.641417,16.495577,0.003332,0.016475,0.143915,0.817292,0.000168
0.050000,10.640133,16.495577,0.004617,0.025687,0.184234,0.806384,0.000037
0.050000,10.691707,16.495573,0.056190,1.031475,20.115749,398.630304,6.283033
0.050000,10.779282,16.495548,0.143766,1.751519,14.400893,-114.297126,6.282777
0.050000,10.893687,16.495482,0.258171,2.288089,10.731390,-73.390067,6.282444
0.050000,11.038512,16.495345,0.402996,2.896505,12.168317,28.738547,6.282026
0.050000,11.217358,16.495092,0.581843,3.576930,13.608504,28.803739,6.281516
0.050000,11.433835,16.494664,0.798320,4.329543,15.052268,28.875274,6.280906
0.050000,11.691564,16.493984,1.056049,5.154589,16.500909,28.972816,6.280190
0.050000,11.994181,16.492952,1.358668,6.052382,17.955863,29.099083,6.279365
0.050000,12.345339,16.491446,1.709829,7.023216,19.416690,29.216543,6.278429
0.050000,12.748710,16.489315,2.113206,8.067535,20.886376,29.393730,6.277380
0.050000,13.207986,16.486380,2.572492,9.185720,22.363709,29.546659,6.276220
0.050000,13.725093,16.482451,3.089613,10.342423,23.134056,15.406939,6.274960
0.050000,14.300175,16.477330,3.664718,11.502102,23.193565,1.190184,6.273613
0.050000,14.933393,16.470817,4.297970,12.665039,23.258754,1.303775,6.272197
0.050000,15.624926,16.462706,4.989550,13.831608,23.331372,1.452347,6.270730
0.050000,16.374964,16.452796,5.739654,15.002064,23.409125,1.555070,6.269233
0.050000,17.183714,16.440894,6.548491,16.176753,23.493782,1.693145,6.267726
0.050000,18.051398,16.426822,7.416289,17.355955,23.584045,1.805249,6.266233
0.050000,18.978252,16.410423,8.343289,18.539990,23.680693,1.932967,6.264779
0.050000,19.964529,16.391568,9.329746,19.729149,23.783184,2.049818,6.263390
0.050000,21.010497,16.370166,10.375933,20.923742,23.891857,2.173458,6.262094
0.050000,22.116440,16.346169,11.482136,22.124066,24.006484,2.292542,6.260920
0.050000,23.282659,16.319581,12.648658,23.330434,24.127359,2.417503,6.259900
0.050000,24.509471,16.290472,13.875816,24.543150,24.254307,2.538958,6.259065
0.050000,25.797213,16.258981,15.163943,25.762539,24.387777,2.669389,6.258451
0.050000,27.146240,16.225332,16.513389,26.988919,24.527604,2.796541,6.258092
0.050000,28.556925,16.189843,17.924520,28.222636,24.674345,2.934825,6.258027
0.050000,30.029665,16.152940,19.397722,29.464040,24.828082,3.074744,6.258295
0.050000,31.564875,16.115166,20.933397,30.713502,24.989246,3.223271,6.258938
0.050000,33.161143,16.077246,22.530116,31.934362,24.417198,-11.440955,6.259996
0.050000,34.815202,16.040078,24.184592,33.089529,23.103334,-26.277269,6.261511
0.050000,36.523767,16.004694,25.893523,34.178622,21.781861,-26.429460,6.263521
0.050000,38.283531,15.972251,27.653587,35.201274,20.453042,-26.576387,6.266061
0.050000,40.091162,15.944026,29.461438,36.157018,19.114875,-26.763349,6.269167
0.050000,41.943295,15.921407,31.313709,37.045420,17.768045,-26.936600,6.272869
0.050000,43.836527,15.905886,33.207005,37.865924,16.410084,-27.159220,6.277197
0.050000,45.767416,15.899037,35.137906,38.618019,15.041898,-27.363707,6.282176
0.050000,47.732465,15.902512,37.102958,39.301043,13.660470,-27.628563,0.004645
0.050000,49.728124,15.918015,39.098677,39.914383,12.266812,-27.873151,0.010993
0.050000,51.750778,15.947286,41.121543,40.457313,10.858602,-28.164215,0.018052
0.050000,53.796740,15.992078,43.167995,40.929037,9.434479,-28.482460,0.025834
0.050000,55.862247,16.054135,45.234434,41.328788,7.995020,-28.789178,0.034346
0.050000,57.943446,16.135160,47.317210,41.655519,6.534623,-29.207943,0.043590
0.050000,60.036399,16.236794,49.412629,41.908370,5.057012,-29.552213,0.053566
0.050000,62.137064,16.360580,51.516938,42.086184,3.556275,-30.014737,0.064266
0.050000,64.243240,16.508082,53.628273,42.226701,2.810349,-14.918526,0.075686
0.050000,66.354586,16.680967,55.746685,42.368242,2.830816,0.409353,0.087832
0.050000,68.470689,16.880923,57.872214,42.510584,2.846832,0.320304,0.100708
0.050000,70.591057,17.109649,60.004883,42.653378,2.855897,0.181306,0.114317
0.050000,72.715113,17.368851,62.144696,42.796262,2.857663,0.035320,0.128659
0.050000,74.842189,17.660230,64.291636,42.938800,2.850774,-0.137785,0.143732
0.050000,76.971515,17.985479,66.445660,43.080478,2.833562,-0.344238,0.159531
0.050000,79.102221,18.346265,68.606695,43.220706,2.804557,-0.580089,0.176050
0.050000,81.233324,18.744219,70.774636,43.358822,2.762312,-0.844900,0.193278
0.050000,83.363730,19.180925,72.949341,43.494092,2.705399,-1.138267,0.211199
0.050000,85.492228,19.657897,75.130627,43.625715,2.632470,-1.458590,0.229796
0.050000,87.617495,20.176570,77.318269,43.752850,2.542703,-1.795325,0.249045
0.050000,89.738093,20.738278,79.512000,43.874606,2.435119,-2.151689,0.268918
0.050000,91.852479,21.344238,81.711503,43.990067,2.309211,-2.518158,0.289384
