dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,28.331211,305.060069,0.030476,1.523810,38.095238,952.380952,0.001044
0.040000,28.351310,305.060074,0.050575,0.502459,-25.533762,-1590.724991,6.283101
0.040000,28.650317,305.059669,0.349582,7.475188,174.318223,4996.299620,6.280565
0.040000,29.181825,305.057080,0.881097,13.287861,145.316819,-725.035118,6.276064
0.040000,30.012085,305.048253,1.711403,20.757672,186.745271,1035.711300,6.269048
0.040000,31.173918,305.026138,2.873447,29.051091,207.335493,514.755553,6.259265
0.040000,32.666556,304.981079,4.366765,37.332952,207.046517,-7.224384,6.246762
0.040000,34.488686,304.900835,6.190661,45.597395,206.611074,-10.886087,6.231612
0.040000,36.638208,304.770760,8.344114,53.836338,205.973577,-15.937428,6.213916
0.040000,39.112001,304.574063,10.825715,62.040025,205.092178,-22.034972,6.193821
0.040000,41.905677,304.292190,13.633575,70.196499,203.911855,-29.508076,6.171519
0.040000,45.013336,303.905323,16.765222,78.291156,202.366424,-38.635762,6.147264
0.040000,48.427455,303.393013,20.217565,86.308578,200.435554,-48.271758,6.121373
0.040000,52.138846,302.734946,23.986845,94.232010,198.085798,-58.743898,6.094231
0.040000,56.136788,301.911797,28.068648,102.045080,195.326729,-68.976720,6.066291
0.040000,60.409322,300.906147,32.457939,109.732274,192.179872,-78.671435,6.038070
0.040000,64.943745,299.703396,37.149166,117.280666,188.709787,-86.752126,6.010139
0.040000,69.727251,298.292613,42.136373,124.680176,184.987742,-93.051114,5.983108
0.040000,74.747673,296.667292,47.413333,131.923994,181.095462,-97.307007,5.957617
0.040000,79.994275,294.825981,52.973662,139.008225,177.105763,-99.742483,5.934323
0.040000,85.458507,292.772809,58.810900,145.930950,173.068133,-100.940735,5.913888
0.040000,91.105754,290.529700,64.887325,151.910625,149.491875,-589.406462,5.897055
0.040000,96.877725,288.138194,71.135120,156.194893,107.106692,-1059.629573,5.884530
0.040000,102.722097,285.647008,77.488284,158.829092,65.854984,-1031.292697,5.876829
0.040000,108.591349,283.109531,83.882572,159.857186,25.702344,-1003.815997,5.874289
0.040000,114.441227,280.581217,90.255439,159.321680,-13.387645,-977.249714,5.877072
0.040000,120.256686,278.105361,96.575995,158.013898,-32.694542,-482.672431,5.885218
0.040000,126.049890,275.712833,102.843802,156.695188,-32.967753,-6.830278,5.898771
0.040000,131.831637,273.434473,109.058262,155.361508,-33.342002,-9.356216,5.917791
0.040000,137.611032,271.301206,115.218801,154.013466,-33.701038,-8.975917,5.942336
0.040000,143.395191,269.343957,121.325135,152.658353,-33.877837,-4.419979,5.972431
0.040000,149.188984,267.593345,127.377629,151.312340,-33.650329,5.687703,6.008040
0.040000,154.994862,266.079127,133.377719,150.002253,-32.752183,22.453657,6.049013
0.040000,160.812794,264.829408,139.328359,148.766013,-30.905994,46.154734,6.095047
0.040000,166.749339,263.767069,145.359208,150.771225,50.130311,2025.907616,6.115506
0.040000,172.890385,262.786619,151.578029,155.470511,117.482140,1683.795715,6.134079
0.040000,179.056672,261.916517,157.805401,155.684303,5.344802,-2803.433440,6.151776
0.040000,185.245864,261.151784,164.041659,155.906452,5.553717,5.222874,6.168563
0.040000,191.455822,260.487175,170.287080,156.135535,5.727079,4.334056,6.184410
0.040000,197.684610,259.917220,176.541890,156.370241,5.867657,3.514451,6.199296
0.040000,203.930494,259.436258,182.806266,156.609385,5.978591,2.773343,6.213201
0.040000,210.191948,259.038472,189.080342,156.851916,6.063289,2.117446,6.226112
0.040000,216.467643,258.717914,195.364219,157.096922,6.125152,1.546591,6.238018
0.040000,222.756446,258.468531,201.657964,157.343628,6.167644,1.062288,6.248913
0.040000,229.057406,258.284193,207.961620,157.591403,6.194374,0.668258,6.258791
0.040000,235.369748,258.158702,214.275210,157.839739,6.208403,0.350722,6.267652
0.040000,241.692858,258.085813,220.598740,158.088247,6.212697,0.107341,6.275493
0.040000,248.021072,258.059250,226.927009,158.206731,2.962099,-81.264953,6.282311
0.040000,254.318596,258.072435,233.224547,157.438444,-19.207184,-554.232057,0.004893
0.040000,260.524479,258.117885,239.430596,155.151239,-57.180104,-949.323017,0.009591
0.040000,266.577520,258.187442,245.484038,151.336032,-95.380180,-955.001900,0.013236
0.040000,272.416269,258.272868,251.323411,145.984327,-133.792644,-960.311603,0.015881
0.040000,277.984252,258.366472,256.892181,139.219247,-169.126979,-883.358368,0.017609
0.040000,283.255216,258.462045,262.164011,131.795757,-185.587269,-411.507250,0.018536
0.040000,288.228071,258.555091,267.137737,124.343143,-186.315342,-18.201815,0.018779
0.040000,292.901783,258.642317,271.812263,116.863160,-186.999581,-17.105981,0.018453
0.040000,297.275368,258.721468,276.186564,109.357525,-187.640877,-16.032393,0.017660
0.040000,301.347889,258.791174,280.259681,101.827933,-188.239795,-14.972963,0.016501
0.040000,305.118460,258.850802,284.030724,94.276060,-188.796826,-13.925773,0.015066
0.040000,308.586250,258.900318,287.498867,86.703575,-189.312112,-12.882155,0.013441
0.040000,311.750484,258.940162,290.663352,79.112129,-189.786157,-11.851116,0.011701
0.040000,314.610452,258.971130,293.523487,71.503383,-190.218641,-10.812094,0.009920
0.040000,317.165507,258.994263,296.078647,63.878996,-190.609693,-9.776304,0.008161
0.040000,319.415071,259.010754,298.328272,56.240625,-190.959268,-8.739381,0.006481
0.040000,321.358637,259.021858,300.271870,48.589939,-191.267139,-7.696774,0.004930
0.040000,322.995767,259.028811,301.909014,40.928608,-191.533281,-6.653546,0.003553
0.040000,324.326093,259.032767,303.239346,33.258309,-191.757482,-5.605016,0.002387
0.040000,325.349320,259.034737,304.262575,25.580715,-191.939849,-4.559181,0.001460
0.040000,326.070515,259.035550,304.983771,18.029895,-188.770506,79.233576,0.000792
0.040000,326.525578,259.035814,305.438834,11.376585,-166.332747,560.943973,0.000364
