dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,28.351566,285.560079,0.030476,1.523810,38.095238,952.380952,0.001044
0.040000,28.349668,285.560074,0.032373,0.047428,-36.909535,-1875.119317,6.283101
0.040000,28.599230,285.559736,0.281935,6.239035,154.790173,4792.492698,6.280565
0.040000,29.042959,285.557575,0.725670,11.093370,121.358362,-835.795272,6.276064
0.040000,29.736417,285.550202,1.419166,17.337421,156.101285,868.573055,6.269048
0.040000,30.707519,285.531716,2.390445,24.281959,173.613439,437.803868,6.259265
0.040000,31.956468,285.494012,3.639963,31.237947,173.899714,7.156871,6.246762
0.040000,33.483444,285.426763,5.168419,38.211400,174.336330,10.915382,6.231612
0.040000,35.288538,285.317524,6.976815,45.209922,174.963042,15.667809,6.213916
0.040000,37.371707,285.151876,9.066560,52.243608,175.842161,21.977982,6.193821
0.040000,39.732708,284.913640,11.439550,59.324746,177.028443,29.657039,6.171519
0.040000,42.371026,284.585173,14.098236,66.467148,178.560049,38.290152,6.147264
0.040000,45.285862,284.147744,17.045712,73.686903,180.493864,48.345380,6.121373
0.040000,48.476115,283.582025,20.285735,81.000588,182.842135,58.706780,6.094231
0.040000,51.940430,282.868672,23.822732,88.424927,185.608468,69.158330,6.066291
0.040000,55.677295,281.989014,27.661738,95.975140,188.755333,78.671622,6.038070
0.040000,59.685249,280.925797,31.808317,103.664487,192.233669,86.958395,6.010139
0.040000,63.963164,279.663997,36.268441,111.503082,195.964887,93.280460,5.983108
0.040000,68.510659,278.191641,41.048351,119.497758,199.866892,97.550123,5.957617
0.040000,73.328611,276.500619,46.154447,127.652395,203.865922,99.975746,5.934323
0.040000,78.419776,274.587478,51.593203,135.968906,207.912783,101.171519,5.913888
0.040000,83.761932,272.465418,57.341400,143.704932,193.400636,-362.803673,5.897055
0.040000,89.308223,270.167311,63.344952,150.088804,159.596810,-845.095655,5.884530
0.040000,95.014429,267.734950,69.547949,155.074913,124.652730,-873.602002,5.876829
0.040000,100.838209,265.217108,75.892706,158.618922,88.600207,-901.313063,5.874289
0.040000,106.737905,262.667289,82.319835,160.678227,51.482646,-927.939020,5.877072
0.040000,112.699550,260.129274,88.799244,161.985216,32.674707,-470.198479,5.885218
0.040000,118.737077,257.635976,95.331339,163.302376,32.929015,6.357685,5.898771
0.040000,124.863949,255.221804,101.916685,164.633656,33.281996,8.824528,5.917791
0.040000,131.092414,252.923023,108.555824,165.978485,33.620728,8.468314,5.942336
0.040000,137.432549,250.777943,115.249006,167.329550,33.776626,3.897446,5.972431
0.040000,143.891096,248.826823,121.995835,168.670710,33.528981,-6.191132,6.008040
0.040000,150.470131,247.111343,128.794848,169.975326,32.615405,-22.839404,6.049013
0.040000,157.165711,245.673500,135.643072,171.205603,30.756931,-46.461836,6.095047
0.040000,163.494896,244.540561,142.072857,160.744623,-261.524496,-7307.035673,6.115506
0.040000,169.993583,243.502985,148.653852,164.524879,94.506389,8900.772110,6.134079
0.040000,176.501568,242.584641,155.226312,164.311503,-5.334390,-2496.019466,6.151776
0.040000,183.015620,241.779742,161.789903,164.089774,-5.543240,-5.221245,6.168563
0.040000,189.532843,241.082223,168.344347,163.861100,-5.716839,-4.339987,6.184410
0.040000,196.050683,240.485794,174.889419,163.626789,-5.857778,-3.523477,6.199296
0.040000,202.566911,239.983993,181.424939,163.388023,-5.969135,-2.783933,6.213201
0.040000,209.079614,239.570223,187.950774,163.145853,-6.054249,-2.127844,6.226112
0.040000,215.587177,239.237801,194.466821,162.901185,-6.116706,-1.561419,6.238018
0.040000,222.088258,238.979983,200.973012,162.654785,-6.160018,-1.082797,6.248913
0.040000,228.581771,238.789995,207.469304,162.407291,-6.187331,-0.682821,6.258791
0.040000,235.066858,238.661054,213.955672,162.159212,-6.201992,-0.366524,6.267652
0.040000,241.542865,238.586390,220.432110,161.910933,-6.206959,-0.124187,6.275493
0.040000,248.004020,238.559257,226.893322,161.530299,-9.515852,-82.722317,6.282311
0.040000,254.414016,238.572668,233.303332,160.250247,-32.001304,-562.136298,0.004893
0.040000,260.711506,238.618782,239.600991,157.441475,-70.219296,-955.449801,0.009591
0.040000,266.835623,238.689150,245.725513,153.113046,-108.210732,-949.785900,0.013236
0.040000,272.725932,238.775327,251.616451,147.273468,-145.989461,-944.468242,0.015881
0.040000,278.327618,238.869495,257.218930,140.061959,-180.287715,-857.456333,0.017609
0.040000,283.616644,238.965395,262.508825,132.247381,-195.364442,-376.918173,0.018536
0.040000,288.594249,239.058529,267.487301,124.461907,-194.636867,18.189368,0.018779
0.040000,293.261588,239.145636,272.155453,116.703795,-193.952789,17.101961,0.018453
0.040000,297.619728,239.224509,276.514306,108.971330,-193.311625,16.029080,0.017660
0.040000,301.669648,239.293829,280.564819,101.262820,-192.712741,14.972121,0.016501
0.040000,305.412243,239.353015,284.307883,93.576591,-192.155741,13.924994,0.015066
0.040000,308.848332,239.402080,287.744322,85.910983,-191.640202,12.888477,0.013441
0.040000,311.978657,239.441497,290.874895,78.264330,-191.166329,11.846829,0.011701
0.040000,314.803891,239.472089,293.700294,70.634980,-190.733727,10.815049,0.009920
0.040000,317.324639,239.494912,296.221145,63.021276,-190.342600,9.778156,0.008161
0.040000,319.541441,239.511164,298.438007,55.421553,-189.993078,8.738069,0.006481
0.040000,321.454776,239.522095,300.351373,47.834147,-189.685155,7.698063,0.004930
0.040000,323.065057,239.528934,301.961669,40.257386,-189.419040,6.652870,0.003553
0.040000,324.372635,239.532823,303.269253,32.689596,-189.194742,5.607468,0.002387
0.040000,325.377797,239.534758,304.274416,25.129094,-189.012552,4.554747,0.001460
0.040000,326.085963,239.535557,304.982583,17.704170,-185.623097,84.736376,0.000792
0.040000,326.532679,239.535815,305.429299,11.167905,-163.406617,555.411992,0.000364
0.040000,326.778413,239.535875,305.675033,6.143336,-125.614226,944.809774,0.000126
0.040000,326.883580,239.535883,305.780200,2.629185,-87.853791,944.010884,0.000024
0.040000,326.908572,239.535884,305.805192,0.624798,-50.109655,943.603399,0.000000
0.040000,326.908572,239.535884,305.805192,0.000000,-15.619961,862.242340,0.000000
