dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,36.413258,46.614714,0.030476,1.523810,38.095238,952.380952,0.019374
0.040000,36.421708,46.614880,0.038928,0.211299,-32.812753,-1772.699789,0.019628
0.040000,36.690350,46.620231,0.307623,6.717360,162.651524,4886.606930,0.020202
0.040000,37.167890,46.630123,0.785266,11.941081,130.593017,-801.462662,0.021225
0.040000,37.913929,46.646560,1.531486,18.655500,167.860472,931.686372,0.022833
0.040000,38.958143,46.671592,2.575999,26.112834,186.433345,464.321833,0.025106
0.040000,40.300276,46.707274,3.918607,33.565190,186.308899,-3.111155,0.028062
0.040000,41.939992,46.756299,5.559055,41.011215,186.150633,-3.956667,0.031727
0.040000,43.876853,46.822031,7.497032,48.449415,185.954991,-4.891031,0.036135
0.040000,46.110310,46.908552,9.732164,55.878291,185.721899,-5.827299,0.041323
0.040000,48.639675,47.020719,12.264015,63.296286,185.449888,-6.800289,0.047335
0.040000,51.464107,47.164221,15.092090,70.701881,185.139875,-7.750308,0.054223
0.040000,54.582573,47.345654,18.215830,78.093482,184.790027,-8.746208,0.062044
0.040000,57.993813,47.572596,21.634610,85.469520,184.400933,-9.727356,0.070861
0.040000,61.696292,47.853695,25.347745,92.828362,183.971057,-10.746898,0.080746
0.040000,65.688142,48.198763,29.354481,100.168397,183.500874,-11.754579,0.091774
0.040000,69.967094,48.618868,33.654006,107.488136,182.993473,-12.685023,0.104030
0.040000,74.530397,49.126444,38.245451,114.786124,182.449710,-13.594079,0.117603
0.040000,79.374718,49.735388,43.127896,122.061116,181.874794,-14.372886,0.132585
0.040000,84.496031,50.461156,48.300379,129.312078,181.274049,-15.018643,0.149077
0.040000,89.889480,51.320862,53.761916,136.538423,180.658622,-15.385661,0.167178
0.040000,95.520276,52.327868,59.482049,143.003340,161.622927,-475.892389,0.186886
0.040000,101.324336,53.488785,65.401072,147.975572,124.305807,-932.927981,0.208073
0.040000,107.237858,54.806550,71.459641,151.464211,87.215979,-927.245700,0.230576
0.040000,113.197663,56.279649,77.598801,153.479017,50.370145,-921.145846,0.254188
0.040000,119.141577,57.901429,83.759993,154.029793,13.769391,-915.018855,0.278666
0.040000,125.036807,59.668332,89.914316,153.858075,-4.292944,-451.558384,0.303846
0.040000,130.879071,61.583062,96.062343,153.700680,-3.934861,8.952072,0.329672
0.040000,136.664018,63.647831,102.204727,153.559586,-3.527367,10.187355,0.356076
0.040000,142.387277,65.864311,108.342192,153.436640,-3.073634,11.343315,0.382984
