dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,36.791023,27.118373,0.030476,1.523810,38.095238,952.380952,0.019374
0.040000,36.804433,27.118636,0.043888,0.335307,-29.712568,-1695.195144,0.019628
0.040000,37.084254,27.124209,0.323765,6.996913,166.540148,4906.317897,0.020202
0.040000,37.581744,27.134515,0.821362,12.439923,136.075249,-761.622478,0.021225
0.040000,38.359144,27.151643,1.598950,19.439706,174.994583,972.983352,0.022833
0.040000,39.447651,27.177737,2.687771,27.220514,194.520199,488.140405,0.025106
0.040000,40.847404,27.214952,4.088018,35.006182,194.641700,3.037523,0.028062
0.040000,42.558569,27.266113,5.799948,42.798242,194.801504,3.995081,0.031727
0.040000,44.581330,27.334760,7.823873,50.598129,194.997162,4.891459,0.036135
0.040000,46.915872,27.425198,10.160166,58.407330,195.230032,5.821749,0.041323
0.040000,49.562364,27.542561,12.809259,66.227334,195.500112,6.752007,0.047335
0.040000,52.520937,27.692880,15.771649,74.059729,195.809877,7.744127,0.054223
0.040000,55.791649,27.883174,19.047892,81.906079,196.158734,8.721410,0.062044
0.040000,59.374449,28.121533,22.638612,89.768007,196.548203,9.736745,0.070861
0.040000,63.269124,28.417230,26.544495,97.647080,196.976835,10.715779,0.080746
0.040000,67.475231,28.780825,30.766289,105.544844,197.444102,11.681673,0.091774
0.040000,71.992028,29.224291,35.304804,113.462864,197.950488,12.659650,0.104030
0.040000,76.818364,29.761135,40.160905,121.402529,198.491636,13.528699,0.117603
0.040000,81.952562,30.406530,45.335509,129.365103,199.064346,14.317769,0.132585
0.040000,87.392269,31.177438,50.829570,137.351541,199.660943,14.914910,0.149077
0.040000,93.134278,32.092724,56.644070,145.362498,200.273933,15.324763,0.167178
0.040000,99.143370,33.167409,62.748507,152.610907,181.210212,-476.593031,0.186886
0.040000,105.352553,34.409386,69.080683,158.304404,142.337434,-971.819440,0.208073
0.040000,111.694352,35.822619,75.578039,162.433911,103.237675,-977.493980,0.230576
0.040000,118.101128,37.406228,82.177630,164.989767,63.896393,-983.532048,0.254188
0.040000,124.505498,39.153673,88.816118,165.962194,24.310686,-989.642685,0.278666
0.040000,130.871064,41.061573,95.461455,166.133444,4.281240,-500.736140,0.303846
0.040000,137.191863,43.133166,102.113072,166.290404,3.924014,-8.930667,0.329672
0.040000,143.461701,45.371028,108.770315,166.431094,3.517244,-10.169249,0.356076
0.040000,149.674224,47.777012,115.432462,166.553677,3.064561,-11.317056,0.382984
0.040000,155.823002,50.352198,122.098724,166.656550,2.571826,-12.318381,0.410314
0.040000,161.901609,53.096857,128.768254,166.738241,2.042279,-13.238675,0.437980
0.040000,167.903735,56.010437,135.440170,166.797897,1.491403,-13.771893,0.465891
0.040000,173.823262,59.091558,142.113558,166.834699,0.920054,-14.283737,0.493953
0.040000,179.214026,62.009790,148.243518,153.248998,-339.642517,-8514.064282,0.485581
0.040000,184.667164,64.788203,154.363673,153.003876,-6.128055,8337.861563,0.456901
0.040000,190.199658,67.410794,160.486293,153.065503,1.540679,191.718357,0.428473
0.040000,195.807322,69.877493,166.612507,153.155349,2.246148,17.636718,0.400413
0.040000,201.485795,72.188968,172.743409,153.272558,2.930217,17.101729,0.372834
0.040000,207.230592,74.346613,178.880031,153.415542,3.574609,16.109790,0.345839
0.040000,213.037172,76.352531,185.023327,153.582395,4.171311,14.917564,0.319529
0.040000,218.901004,78.209497,191.174168,153.771020,4.715628,13.607924,0.293992
0.040000,224.817609,79.920916,197.333321,153.978846,5.195653,12.000606,0.269306
0.040000,230.782630,81.490764,203.501457,154.203377,5.613282,10.440739,0.245539
0.040000,236.791859,82.923535,209.679132,154.441892,5.962858,8.739399,0.222751
0.040000,242.841294,84.224179,215.866808,154.691893,6.250024,7.179140,0.200986
0.040000,248.927157,85.398034,222.064845,154.950927,6.475862,5.645956,0.180284
0.040000,255.045924,86.450772,228.273514,155.216720,6.644821,4.223966,0.160670
0.040000,261.194342,87.388331,234.493004,155.487253,6.763338,2.962942,0.142166
0.040000,267.369435,88.216867,240.723434,155.760740,6.837167,1.845728,0.124782
0.040000,273.543381,88.939963,246.939580,155.403664,-8.926897,-394.101620,0.108588
0.040000,279.658643,89.560031,253.086197,153.665433,-43.455768,-863.221770,0.093700
0.040000,285.652898,90.082020,259.103138,150.423520,-81.047846,-939.801945,0.080201
0.040000,291.463622,90.513290,264.929844,145.667637,-118.897061,-946.230367,0.068130
0.040000,297.028200,90.862854,270.505391,139.388690,-156.973674,-951.915340,0.057492
0.040000,302.309473,91.141896,275.794030,132.215976,-179.317864,-558.604745,0.048214
0.040000,307.300495,91.362305,280.789917,124.897168,-182.970188,-91.308087,0.040167
0.040000,311.999215,91.534563,285.491793,117.546901,-183.756670,-19.662049,0.033222
0.040000,316.403904,91.667615,289.898492,110.167462,-184.485983,-18.232838,0.027261
0.040000,320.513095,91.769043,294.008935,102.761072,-185.159748,-16.844133,0.022171
0.040000,324.325531,91.845224,297.822131,95.329908,-185.779101,-15.483819,0.017852
0.040000,327.840125,91.901479,301.337175,87.876105,-186.345080,-14.149460,0.014211
0.040000,331.055931,91.942208,304.553240,80.401617,-186.862204,-12.928121,0.011163
0.040000,333.972128,91.971018,307.469579,72.908471,-187.328653,-11.661227,0.008632
0.040000,336.587994,91.990833,310.085519,65.398524,-187.748664,-10.500272,0.006548
