dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,2.162137,14.751230,0.030952,1.547619,38.690476,967.261905,0.022247
0.040000,2.146940,14.750880,0.046153,0.380027,-29.189808,-1697.007100,0.023806
0.040000,2.368507,14.756581,0.267794,5.541004,129.024431,3955.355979,0.027319
0.040000,2.802401,14.769798,0.701889,10.852394,132.784745,94.007838,0.033590
0.040000,3.452520,14.794719,1.352485,16.264888,135.312363,63.190446,0.043053
0.040000,4.317893,14.837505,2.218916,21.660774,134.897144,-10.380465,0.055773
0.040000,5.397229,14.906445,3.300451,27.038379,134.440131,-11.425331,0.071830
0.040000,6.688701,15.011996,4.596229,32.394458,133.901971,-13.454006,0.091308
0.040000,8.189992,15.166832,6.105484,37.731360,133.422544,-11.985664,0.114286
0.040000,9.898177,15.385865,7.827654,43.054257,133.072418,-8.753146,0.140823
0.040000,11.809595,15.686213,9.762525,48.371783,132.938165,-3.356336,0.170938
0.040000,13.919895,16.087143,11.910574,53.701218,133.235865,7.442509,0.204583
0.040000,16.223926,16.609894,14.273162,59.064709,134.087287,21.285543,0.241617
0.040000,18.715769,17.277410,16.852864,64.492532,135.695575,40.207215,0.281777
0.040000,21.388753,18.113919,19.653684,70.020503,138.199260,62.592113,0.324650
0.040000,24.235556,19.144350,22.681237,75.688822,141.707990,87.718262,0.369660
0.040000,27.248319,20.393572,25.942724,81.537176,146.208832,112.521042,0.416071
0.040000,30.418864,21.885461,29.446734,87.600253,151.576924,134.202288,0.463001
0.040000,33.739005,23.641836,33.202821,93.902179,157.548151,149.280686,0.509472
0.040000,37.201054,25.681405,37.220982,100.454033,163.796361,156.205256,0.554461
0.040000,40.798503,28.018780,41.511083,107.252510,169.961923,154.139052,0.596957
0.040000,44.503784,30.646668,46.053648,113.564143,157.790836,-304.277190,0.635786
0.040000,48.270872,33.530354,50.797761,118.602807,125.966601,-795.605878,0.669821
0.040000,52.059672,36.623240,55.688665,122.272595,91.744685,-855.547894,0.698332
0.040000,55.835351,39.869591,60.668077,124.485305,55.317749,-910.673400,0.720946
0.040000,59.589298,43.227773,65.704893,125.920394,35.877235,-486.012849,0.737677
0.040000,63.337304,46.675337,70.797361,127.311724,34.783246,-27.349733,0.748703
0.040000,67.096548,50.190755,75.944213,128.671291,33.989182,-19.851584,0.754153
0.040000,70.885460,53.753062,81.144780,130.014161,33.571733,-10.436224,0.754095
0.040000,74.723618,57.341371,86.399055,131.356883,33.568054,-0.091996,0.748528
0.040000,78.631632,60.934289,91.707693,132.715952,33.976717,10.216580,0.737383
0.040000,82.630996,64.509245,97.071948,134.106366,34.760362,19.591143,0.720530
0.040000,86.743806,68.041738,102.493544,135.539917,35.838772,26.960241,0.697790
0.040000,90.992261,71.504538,107.974452,137.022692,37.069384,30.765288,0.668960
0.040000,95.397836,74.866905,113.516528,138.551892,38.230003,29.015480,0.633846
0.040000,99.980010,78.093955,119.121005,140.111943,39.001265,19.281556,0.592319
0.040000,104.754462,81.146402,124.787823,141.670438,38.962388,-0.971930,0.544385
0.040000,109.730769,83.980973,130.514814,143.174770,37.608281,-33.852680,0.490262
0.040000,114.909879,86.551884,136.296921,144.552687,34.447932,-79.008724,0.430470
0.040000,120.281901,88.813594,142.125640,145.717960,29.131829,-132.902558,0.365882
0.040000,125.825077,90.724755,147.989029,146.584734,21.669352,-186.561928,0.297726
0.040000,131.506584,92.252657,153.872396,147.084180,12.486156,-229.579905,0.227511
0.040000,137.421793,93.375497,159.893232,150.520902,85.918051,1835.797365,0.139172
0.040000,143.551551,93.920003,166.047127,153.847370,83.161690,-68.909024,0.041082
0.040000,149.474507,93.932330,171.970095,148.074205,-144.329129,-5687.270465,6.249977
0.040000,155.135848,93.595607,177.641441,141.783651,-157.263841,-323.367793,6.201577
0.040000,160.529216,93.082494,183.059162,135.443026,-158.515641,-31.295012,6.179234
0.040000,165.667311,92.544228,188.225375,129.155326,-157.192492,33.078737,6.182699
0.040000,170.562156,92.111790,193.139285,122.847746,-157.689507,-12.425381,6.212023
0.040000,175.495479,91.873464,198.078361,123.476887,15.728543,4335.451252,6.233892
0.040000,181.762642,91.197294,204.381895,157.588346,852.786470,20926.448173,6.120361
0.040000,187.701508,89.934427,210.453547,151.791309,-144.925939,-24942.810236,6.030751
0.040000,193.270175,88.299634,216.257219,145.091797,-167.487780,-564.046015,5.968740
0.040000,198.470496,86.498077,221.760758,137.588483,-187.582867,-502.377184,5.934986
0.040000,203.307061,84.712985,226.916232,128.886860,-217.540573,-748.942639,5.928593
0.040000,207.785709,83.092411,231.679062,119.070730,-245.403252,-696.566980,5.947752
0.040000,211.903651,81.743721,236.012238,108.329399,-268.533272,-578.250497,5.989890
0.040000,215.668294,80.724207,239.912487,97.506234,-270.579133,-51.146532,6.051583
0.040000,219.104990,80.045959,243.415471,87.574608,-248.290647,557.212159,6.128600
0.040000,223.267867,79.387483,247.630105,105.365834,444.780665,17326.782795,6.103943
0.040000,227.001016,78.685718,251.428641,94.963417,-260.060436,-17621.027532,6.099941
0.040000,229.998096,78.188995,254.466604,75.949076,-475.358519,-5382.452071,6.148519
0.040000,232.247266,77.983474,256.725145,56.463521,-487.138872,-294.508815,6.251573
0.040000,233.642131,78.035123,258.120966,34.895509,-539.200306,-1301.535850,0.134471
0.040000,234.182112,78.155102,258.674115,13.828746,-526.669070,313.280884,0.361637
0.040000,234.249035,78.186090,258.747864,1.843717,-299.625726,5676.083606,0.612666
0.040000,234.346693,78.279165,258.882771,3.372683,38.224153,8446.246983,0.832020
0.040000,234.604512,78.623211,259.312701,10.748231,184.388699,3654.113649,0.995692
0.040000,234.926262,79.195947,259.969624,16.423095,141.871601,-1062.927460,1.110696
0.040000,235.229783,79.880512,260.718460,18.720890,57.444875,-2110.668156,1.190893
0.040000,235.482130,80.570797,261.453424,18.374091,-8.669976,-1652.871261,1.247125
0.040000,235.676909,81.193077,262.105475,16.301289,-51.820062,-1078.752154,1.286471
0.040000,235.817553,81.700100,262.631644,13.154225,-78.676585,-671.413070,1.313333
0.040000,235.909675,82.062686,263.005750,9.352638,-95.039694,-409.077725,1.330396
0.040000,235.962155,82.281326,263.230600,5.621244,-93.284831,43.871577,1.339966
0.040000,235.986773,82.387132,263.339232,2.715814,-72.635758,516.226811,1.344422
0.040000,235.994464,82.420634,263.373605,0.859324,-46.412262,655.587416,1.345811
0.040000,235.995371,82.424597,263.377671,0.101639,-18.942110,686.753795,1.345974
0.040000,235.995371,82.424597,263.377671,0.000000,-2.540979,410.028285,1.345974
