dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,2.595912,-4.743945,0.030952,1.547619,38.690476,967.261905,0.022247
0.040000,2.611109,-4.743595,0.046153,0.380027,-29.189808,-1697.007100,0.023806
0.040000,2.901168,-4.736142,0.336308,7.253852,171.845644,5025.886285,0.027319
0.040000,3.457274,-4.719202,0.892671,13.909099,166.381153,-136.612258,0.033590
0.040000,4.291785,-4.687212,1.727796,20.878118,174.225487,196.108348,0.043053
0.040000,5.404902,-4.632174,2.842272,27.861906,174.594696,9.230218,0.055773
0.040000,6.796707,-4.543272,4.236914,34.866035,175.103236,12.713492,0.071830
0.040000,8.466725,-4.406774,5.912501,41.889678,175.591065,12.195732,0.091308
0.040000,10.413714,-4.205959,7.869818,48.932938,176.081494,12.260728,0.114286
0.040000,12.635163,-3.921100,10.109458,55.990978,176.450997,9.237586,0.140823
0.040000,15.126678,-3.529586,12.631546,63.052203,176.530641,1.991090,0.170938
0.040000,17.881496,-3.006199,15.435642,70.102398,176.254860,-6.894526,0.204583
0.040000,20.889753,-2.323675,18.520355,77.117826,175.385708,-21.728805,0.241617
0.040000,24.137994,-1.453566,21.883115,84.069001,173.779383,-40.158132,0.281777
0.040000,27.608801,-0.367451,25.519892,90.919431,171.260740,-62.966064,0.324650
0.040000,31.280883,0.961573,29.425079,97.629686,167.756369,-87.609269,0.369660
0.040000,35.129624,2.557232,33.591486,104.160157,163.261773,-112.364896,0.416071
0.040000,39.128252,4.438496,38.010555,110.476745,157.914708,-133.676642,0.463001
0.040000,43.249483,6.618299,42.672752,116.554926,151.954534,-149.004337,0.509472
0.040000,47.467518,9.102812,47.568121,122.384203,145.731922,-155.565303,0.554461
0.040000,51.760011,11.891308,52.686832,127.967790,139.589667,-153.556382,0.596957
0.040000,56.083078,14.956865,57.986506,132.491844,113.101345,-662.208056,0.635786
0.040000,60.377370,18.243670,63.394280,135.194363,67.562978,-1138.459169,0.669821
0.040000,64.597022,21.687884,68.841122,136.171038,24.416895,-1078.652078,0.698332
0.040000,68.707209,25.221544,74.261489,135.509187,-16.546276,-1024.079278,0.720946
0.040000,72.704420,28.797125,79.624556,134.076650,-35.813425,-481.678708,0.737677
0.040000,76.610740,32.390173,84.932034,132.686974,-34.741900,26.788115,0.748703
0.040000,80.447648,35.978151,90.185171,131.328423,-33.963794,19.452666,0.754153
0.040000,84.235736,39.539683,95.384607,129.985883,-33.563488,10.007636,0.754095
0.040000,87.994557,43.053888,100.530320,128.642842,-33.576019,-0.313264,0.748528
0.040000,91.742516,46.499792,105.621631,127.282760,-34.002063,-10.651098,0.737383
0.040000,95.496763,49.855848,110.657253,125.890559,-34.805019,-20.073918,0.720530
0.040000,99.273059,53.099589,115.635432,124.454471,-35.902202,-27.429579,0.697790
0.040000,103.085577,56.207424,120.554165,122.968325,-37.153651,-31.286219,0.668960
0.040000,106.946667,59.154665,125.411556,121.434765,-38.339004,-29.633831,0.633846
0.040000,110.866600,61.915817,130.206327,119.869290,-39.136877,-19.946819,0.592319
0.040000,114.853352,64.465202,134.938510,118.304575,-39.117870,0.475171,0.544385
0.040000,118.912487,66.777890,139.610244,116.793353,-37.780541,33.433235,0.490262
0.040000,123.047198,68.830879,144.226584,115.408497,-34.621397,78.978601,0.430470
0.040000,127.258475,70.604326,148.796045,114.236520,-29.299428,133.049221,0.365882
0.040000,131.545335,72.082635,153.330641,113.364907,-21.790325,187.727581,0.297726
0.040000,135.904878,73.255157,157.845110,112.861723,-12.579602,230.268068,0.227511
0.040000,140.126887,74.064038,162.143907,107.469909,-134.795343,-3055.393511,0.139172
0.040000,144.352432,74.436456,166.385831,106.048109,-35.545024,2481.257957,0.041082
0.040000,148.827061,74.443082,170.860464,111.865835,145.443165,4524.704727,6.249977
0.040000,153.546242,74.160506,175.588098,118.190850,158.125384,317.055485,6.201577
0.040000,158.505820,73.687756,180.570156,124.551451,159.015010,22.240647,6.179234
0.040000,163.711127,73.142596,185.803934,130.844428,157.324417,-42.264836,6.182699
0.040000,169.175672,72.661143,191.289646,137.142823,157.459876,3.386487,6.212023
0.040000,174.534649,72.397150,196.655122,134.136899,-75.148086,-5815.199050,6.233892
0.040000,178.601572,71.955214,200.745987,102.271608,-796.632268,-18037.104557,6.120361
0.040000,182.831157,71.052434,205.070845,108.121451,146.246062,23571.958256,6.030751
0.040000,187.239045,69.755754,209.665500,114.866392,168.623535,559.436826,5.968740
0.040000,191.816990,68.168296,214.510869,121.134214,156.695550,-298.199629,5.934986
0.040000,196.536510,66.426115,219.541681,125.770290,115.901904,-1019.841146,5.928593
0.040000,201.366731,64.679189,224.678098,128.410437,66.003658,-1247.456149,5.947752
0.040000,206.266039,63.076442,229.832903,128.870133,11.492410,-1362.781196,5.989890
0.040000,211.192323,61.744858,234.935980,127.576912,-32.330532,-1095.573559,6.051583
0.040000,216.102559,60.778488,239.940407,125.110682,-61.655756,-733.130596,6.128600
0.040000,219.791331,60.199891,243.674281,93.346844,-794.095949,-18311.004833,6.103943
0.040000,223.447711,59.512194,247.394770,93.012235,-8.365213,19643.268398,6.099941
0.040000,227.380042,58.865543,251.379916,99.628643,165.410206,4344.385493,6.148519
0.040000,231.630924,58.493217,255.647072,106.678902,176.256474,271.156689,6.251573
0.040000,236.256425,58.711162,260.277705,115.765827,227.173119,1272.916126,0.134471
0.040000,241.081327,59.916384,265.250857,124.328792,214.074121,-327.474948,0.361637
0.040000,245.462521,62.232792,270.206723,123.896649,-10.803587,-5621.942711,0.612666
0.040000,248.762903,65.148175,274.610355,110.090796,-345.146306,-8358.567966,0.832020
0.040000,250.967651,68.016719,278.228291,90.448402,-491.059846,-3647.838501,0.995692
0.040000,252.398415,70.537201,281.126552,72.456518,-449.797110,1031.568400,1.110696
0.040000,253.339439,72.649307,283.438806,57.806365,-366.253827,2088.582080,1.190893
