dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,2.160877,14.751202,0.030952,1.547619,38.690476,967.261905,0.022376
0.040000,2.145983,14.750857,0.045850,0.372449,-29.379246,-1701.743043,0.023904
0.040000,2.375734,14.756770,0.275678,5.745690,134.331024,4092.756735,0.027346
0.040000,2.810943,14.770010,0.711088,10.885247,128.488931,-146.052315,0.033482
0.040000,3.463175,14.794872,1.363794,16.317652,135.810122,183.029778,0.042727
0.040000,4.331731,14.837394,2.233390,21.739909,135.556429,-6.342341,0.055125
0.040000,5.415553,14.905673,3.319361,27.149257,135.233678,-8.068770,0.070726
0.040000,6.713246,15.009893,4.621232,32.546786,134.938242,-7.385909,0.089579
0.040000,8.222989,15.162344,6.138652,37.935510,134.718089,-5.503809,0.111721
0.040000,9.942451,15.377409,7.871512,43.321501,134.649783,-1.707657,0.137161
0.040000,11.868792,15.671519,9.820176,48.716585,134.877092,5.682729,0.165863
0.040000,13.998533,16.063038,11.985606,54.135744,135.478970,15.046955,0.197726
0.040000,16.327594,16.572074,14.369644,59.600956,136.630310,28.783492,0.232562
0.040000,18.851246,17.220174,16.975187,65.138576,138.440493,45.254572,0.270073
0.040000,21.564157,18.029902,19.806361,70.779349,141.019336,64.471068,0.309835
0.040000,24.460446,19.024263,22.868590,76.555718,144.409221,84.747136,0.351293
0.040000,27.533808,20.225985,26.168543,82.498836,148.577960,104.218486,0.393763
0.040000,30.777716,21.656670,29.713934,88.634773,153.398419,120.511468,0.436455
0.040000,34.185739,23.335878,33.513192,94.981444,158.666768,131.708722,0.478504
0.040000,37.752016,25.280201,37.575054,101.546560,164.127908,136.528493,0.519017
0.040000,41.471892,27.502439,41.908161,108.327665,169.527615,134.992684,0.557109
0.040000,45.318642,29.994764,46.491737,114.589411,156.543660,-324.598872,0.591737
0.040000,49.245553,32.723662,51.273736,119.549982,124.014263,-813.234941,0.621891
0.040000,53.210871,35.644665,56.198775,123.125958,89.399396,-865.371659,0.646905
0.040000,57.177159,38.704833,61.208372,125.239941,52.849574,-913.745549,0.666425
0.040000,61.133592,41.864517,66.271668,126.582393,33.561320,-482.206358,0.680442
0.040000,65.094600,45.101937,71.387376,127.892704,32.757769,-20.088764,0.689086
0.040000,69.075849,48.395886,76.554624,129.181188,32.212108,-13.641524,0.692445
0.040000,73.094104,51.725394,81.773052,130.460701,31.987820,-5.607215,0.690555
0.040000,77.167083,55.069278,87.042845,131.744833,32.103301,2.887034,0.683395
0.040000,81.313297,58.405621,92.364713,133.046689,32.546385,11.077105,0.670893
0.040000,85.551808,61.711178,97.739811,134.377462,33.269326,18.073518,0.652926
0.040000,89.901861,64.960748,103.169606,135.744873,34.185291,22.899124,0.629345
0.040000,94.382287,68.126532,108.655625,137.150465,35.139782,23.862277,0.599989
0.040000,99.010614,71.177585,114.199120,138.587377,35.922819,19.575911,0.564730
0.040000,103.801805,74.079482,119.800594,140.036860,36.237070,7.856294,0.523512
0.040000,108.766599,76.794394,125.459209,141.465368,35.712702,-13.109207,0.476421
0.040000,113.909565,79.281835,131.172130,142.823033,33.941615,-44.277187,0.423745
0.040000,119.227167,81.500324,136.933951,144.045525,30.562299,-84.482893,0.366040
0.040000,124.706315,83.410019,142.736364,145.060322,25.369924,-129.809361,0.304159
0.040000,130.324033,84.976126,148.568298,145.798352,18.450747,-172.979437,0.239240
0.040000,136.109105,86.176043,154.476500,147.705048,47.667401,730.416347,0.162517
