dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,2.598618,-4.743884,0.030952,1.547619,38.690476,967.261905,0.022524
0.040000,2.610885,-4.743600,0.043222,0.306743,-31.021908,-1742.809598,0.023783
0.040000,2.886598,-4.736613,0.319025,6.895061,164.707945,4893.246309,0.026615
0.040000,3.430740,-4.720755,0.863397,13.609303,167.856053,78.702713,0.031656
0.040000,4.246945,-4.691814,1.680115,20.417956,170.216329,59.006907,0.039232
0.040000,5.335064,-4.643588,2.769302,27.229683,170.293172,1.921062,0.049355
0.040000,6.694696,-4.567785,4.131046,34.043599,170.347904,1.368294,0.062039
0.040000,8.325132,-4.454022,5.765445,40.859982,170.409569,1.541645,0.077290
0.040000,10.225030,-4.289852,7.672423,47.674443,170.361527,-1.201054,0.095103
0.040000,12.392320,-4.060829,9.851781,54.483947,170.237618,-3.097728,0.115457
0.040000,14.823835,-3.750644,12.303001,61.280493,169.913630,-8.099715,0.138297
0.040000,17.515061,-3.341347,15.025173,68.054308,169.345377,-14.206317,0.163533
0.040000,20.459925,-2.813666,18.016940,74.794177,168.496742,-21.215860,0.191027
0.040000,23.650560,-2.147461,21.276385,81.486113,167.298390,-29.958805,0.220579
0.040000,27.077129,-1.322309,24.800907,88.113053,165.673508,-40.622061,0.251924
0.040000,30.727856,-0.318200,28.587203,94.657412,163.608975,-51.613318,0.284725
0.040000,34.589207,0.883695,32.631283,101.101997,161.114615,-62.359009,0.318570
0.040000,38.646233,2.300204,36.928486,107.430083,158.202164,-72.811259,0.352981
0.040000,42.883159,3.945399,41.473617,113.628264,154.954515,-81.191243,0.387426
0.040000,47.284108,5.829939,46.261084,119.686680,151.460403,-87.352780,0.421329
0.040000,51.833945,7.960577,51.285090,125.600146,147.836646,-90.593939,0.454095
0.040000,56.490183,10.324596,56.507076,130.549641,123.737368,-602.481946,0.484943
0.040000,61.187011,12.886152,61.857007,133.748293,79.966317,-1094.276274,0.513037
0.040000,65.866452,15.601011,67.266964,135.248904,37.515274,-1061.276080,0.537759
0.040000,70.477772,18.419043,72.671182,135.105458,-3.586159,-1027.535825,0.558715
0.040000,75.002924,21.304033,78.037760,134.164459,-23.524981,-498.470537,0.575807
0.040000,79.452869,24.237091,83.367380,133.240481,-23.099437,10.638578,0.589105
0.040000,83.838901,27.200495,88.660681,132.332537,-22.698613,10.020601,0.598676
0.040000,88.172376,30.177457,93.918181,131.437512,-22.375630,8.074595,0.604575
0.040000,92.464525,33.151874,99.140221,130.550988,-22.163083,5.313665,0.606835
0.040000,96.726305,36.108087,104.326932,129.667763,-22.080635,2.061198,0.605472
0.040000,100.968284,39.030660,109.478224,128.782324,-22.135970,-1.383372,0.600477
0.040000,105.200547,41.904166,114.593797,127.889310,-22.325346,-4.734389,0.591819
0.040000,109.432595,44.713023,119.673158,126.984031,-22.631975,-7.665727,0.579449
0.040000,113.673256,47.441358,124.715680,126.063040,-23.024773,-9.819965,0.563303
0.040000,117.930574,50.072930,129.720670,125.124748,-23.457306,-10.813319,0.543311
0.040000,122.211686,52.591104,134.687471,124.170038,-23.867759,-10.261337,0.519405
0.040000,126.522713,54.978921,139.615617,123.203645,-24.159818,-7.301457,0.491539
0.040000,130.868621,57.219240,144.504988,122.234282,-24.234087,-1.856743,0.459701
0.040000,135.253132,59.294995,149.356039,121.276269,-23.950309,7.094470,0.423938
0.040000,139.678631,61.189539,154.170012,120.349325,-23.173595,19.417853,0.384378
0.040000,144.146139,62.887077,158.949161,119.478729,-21.764919,35.216898,0.341252
0.040000,148.655324,64.373147,163.696914,118.693817,-19.622800,53.552974,0.294911
0.040000,153.204560,65.635118,168.417943,118.025718,-16.702477,73.008059,0.245835
0.040000,157.791019,66.662641,173.118093,117.503757,-13.049024,91.336335,0.194622
0.040000,161.925146,67.273998,177.297179,104.477153,-325.665102,-7815.401957,0.094068
0.040000,166.258425,67.480294,181.635367,108.454691,99.438458,10627.588994,0.005822
0.040000,170.839750,67.350951,186.218516,114.578746,153.101371,1341.572832,6.225819
0.040000,175.663014,66.972759,191.056584,120.951700,159.323854,155.562068,6.188726
0.040000,180.727655,66.453183,196.147808,127.280589,158.222242,-27.540282,6.177573
0.040000,186.043312,65.917723,201.490366,133.563949,157.083989,-28.456332,6.192199
0.040000,191.624035,65.511247,207.085871,139.887638,158.092215,25.205658,6.232804
0.040000,196.491008,65.280688,211.958303,121.810785,-451.921316,-15250.338272,6.203974
0.040000,200.956978,64.756373,216.454945,112.416055,-234.868249,5426.326668,6.131935
0.040000,205.525016,63.925391,221.097951,116.075151,91.477390,8158.640970,6.077910
0.040000,210.142112,62.871121,225.833884,118.398318,58.079173,-834.955435,6.042649
0.040000,214.752441,61.690879,230.592887,118.975080,14.419066,-1091.502659,6.025349
0.040000,219.297941,60.483460,235.296017,117.578245,-34.920891,-1233.498925,6.024276
0.040000,223.744439,59.331286,239.889365,114.833713,-68.613281,-842.309751,6.037214
0.040000,228.083246,58.294525,244.350320,111.523875,-82.745957,-353.316912,6.061979
0.040000,232.301281,57.418418,248.658380,107.701488,-95.559688,-320.343266,6.096469
0.040000,236.378618,56.733735,252.792805,103.360622,-108.521636,-324.048712,6.138556
0.040000,240.728991,56.285157,257.166244,109.335977,149.383862,6447.637452,6.233738
0.040000,245.277687,56.358151,261.715525,113.732037,109.901518,-987.058580,0.086311
0.040000,249.803684,57.120070,266.305206,114.742018,25.249507,-2116.300281,0.251788
0.040000,254.093524,58.657129,270.862099,113.922325,-20.492310,-1143.545421,0.439450
0.040000,257.827114,60.866181,275.200256,108.453926,-136.709988,-2905.441950,0.630062
0.040000,260.774698,63.432271,279.108334,97.701941,-268.799627,-3302.240975,0.801777
0.040000,262.934131,66.007063,282.468795,84.011545,-342.259893,-1836.506650,0.942516
0.040000,264.454896,68.363903,285.273689,70.122334,-347.230278,-124.259647,1.051527
0.040000,265.509978,70.402065,287.568748,57.376491,-318.646058,714.605523,1.133568
0.040000,266.237278,72.091533,289.408115,45.984154,-284.808444,845.940340,1.194230
0.040000,266.732983,73.431272,290.836618,35.712596,-256.788935,700.487734,1.238133
0.040000,267.060636,74.429034,291.886803,26.254607,-236.449737,508.479944,1.268623
0.040000,267.260632,75.093267,292.580491,17.342206,-222.810023,340.992836,1.287943
0.040000,267.367692,75.469059,292.971236,9.768622,-189.339594,836.760736,1.298542
0.040000,267.414627,75.638718,293.147267,4.400778,-134.196094,1378.587498,1.303251
0.040000,267.426999,75.683962,293.194172,1.172628,-80.703768,1337.308153,1.304499
0.040000,267.427447,75.685605,293.195876,0.042587,-28.251011,1311.318914,1.304544
0.040000,267.427447,75.685605,293.195876,0.000000,-1.064681,679.658267,1.304544
