dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,22.596227,314.751580,0.030952,1.547619,38.690476,967.261905,6.260904
0.040000,22.615990,314.751120,0.050721,0.494207,-26.335301,-1625.644427,6.259066
0.040000,22.934864,314.742766,0.369705,7.974596,187.009725,5333.625651,6.254922
0.040000,23.501980,314.724635,0.937110,14.185131,155.263366,-793.658968,6.247520
0.040000,24.353191,314.689500,1.789046,21.298401,177.831748,564.209536,6.236331
0.040000,25.488936,314.627681,2.926472,28.435669,178.431698,14.998760,6.221260
0.040000,26.909262,314.526039,4.350430,35.598942,179.081849,16.253774,6.202194
0.040000,28.613640,314.367828,6.062136,42.792645,179.842563,19.017842,6.179011
0.040000,30.600259,314.132610,8.062631,50.012385,180.493502,16.273483,6.151604
0.040000,32.865340,313.796284,10.352546,57.247863,180.886951,9.836229,6.119906
0.040000,35.402317,313.331350,12.931773,64.480682,180.820462,-1.662235,6.083926
0.040000,38.200925,312.707513,15.799068,71.682378,180.042398,-19.451609,6.043792
0.040000,41.246346,311.892745,18.951596,78.813199,178.270542,-44.296385,5.999795
0.040000,44.518547,310.854898,22.384441,85.821122,175.198080,-76.811544,5.952437
0.040000,47.992339,309.563747,26.090423,92.649551,170.710720,-112.184000,5.902455
0.040000,51.638114,307.993313,30.060051,99.240689,164.778433,-148.307198,5.850824
0.040000,55.423549,306.124044,34.281861,105.545248,157.613987,-179.111138,5.798721
0.040000,59.316096,303.944437,38.743095,111.530851,149.640073,-199.347844,5.747457
0.040000,63.285881,301.451742,43.430602,117.187679,141.420707,-205.484160,5.698385
0.040000,67.308406,298.651726,48.331704,122.527549,133.496739,-198.099202,5.652807
0.040000,71.366622,295.557722,53.434837,127.578335,126.269662,-180.676910,5.611912
0.040000,75.427108,292.210745,58.696948,131.552766,99.360772,-672.722263,5.576943
0.040000,79.445299,288.680340,64.045744,133.719903,54.178427,-1129.558635,5.548965
0.040000,83.390809,285.041004,69.413408,134.191589,11.792149,-1059.656933,5.528585
0.040000,87.243074,281.368489,74.735748,133.058516,-28.326839,-1002.974705,5.516034
0.040000,91.009055,277.715414,79.982421,131.166811,-47.292627,-474.144694,5.511246
0.040000,94.717855,274.110919,85.154227,129.295171,-46.790980,12.541162,5.514138
0.040000,98.396436,270.583672,90.250640,127.410325,-47.121158,-8.254432,5.524760
0.040000,102.069446,267.162922,95.269857,125.480415,-48.247744,-28.164659,5.543294
0.040000,105.759011,263.879246,100.209028,123.479283,-50.028319,-44.514375,5.570031
0.040000,109.484440,260.764915,105.064735,121.392659,-52.165598,-53.431987,5.605317
0.040000,113.261858,257.853732,109.833788,119.226325,-54.158349,-49.818767,5.649477
0.040000,117.103897,255.180203,114.514495,117.017690,-55.215874,-26.438120,5.702681
0.040000,121.019621,252.777969,119.108364,114.846710,-54.274504,23.534249,5.764773
0.040000,125.014855,250.677656,123.622033,112.841725,-50.124619,103.747113,5.835070
0.040000,129.092882,248.904618,128.068826,111.169822,-41.797582,208.175926,5.912208
0.040000,133.255081,247.477235,132.468976,110.003750,-29.151777,316.145143,5.994117
0.040000,137.500958,246.406170,136.847862,109.472172,-13.289459,396.557936,6.078200
0.040000,141.604252,245.765518,141.000868,103.825145,-141.175681,-3197.155551,6.181429
0.040000,145.918451,245.530682,145.321455,108.014656,104.737783,6147.836602,6.271476
0.040000,150.481031,245.637147,149.885277,114.095557,152.022533,1182.118756,0.053456
0.040000,155.285951,245.999877,154.703869,120.464799,159.231041,180.212697,0.092544
