dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,22.161773,295.256420,0.030952,1.547619,38.690476,967.261905,6.260904
0.040000,22.145711,295.256791,0.047019,0.401666,-28.648837,-1683.482842,6.259066
0.040000,22.383812,295.250554,0.285202,5.954565,138.822493,4186.783267,6.254922
0.040000,22.806653,295.237036,0.708258,10.576421,115.546398,-581.902371,6.247520
0.040000,23.439869,295.210901,1.342014,15.843882,131.686530,403.503285,6.236331
0.040000,24.282170,295.165057,2.185562,21.088695,131.120309,-14.155510,6.221260
0.040000,25.331654,295.089960,3.237729,26.304193,130.387454,-18.321376,6.202194
0.040000,26.585907,294.973543,4.497373,31.491101,129.672708,-17.868659,6.179011
0.040000,28.041812,294.801176,5.963446,36.651827,129.018134,-16.364340,6.151604
0.040000,29.695518,294.555644,7.635280,41.795844,128.600426,-10.442703,6.119906
0.040000,31.542426,294.217187,9.512945,46.941611,128.644184,1.093945,6.083926
0.040000,33.577218,293.763613,11.597677,52.118304,129.417326,19.328544,6.043792
0.040000,35.793914,293.170539,13.892339,57.366560,131.206388,44.726544,5.999795
0.040000,38.185912,292.411803,16.401789,62.736237,134.241942,75.888861,5.952437
0.040000,40.746171,291.460072,19.133220,68.285780,138.738560,112.415455,5.902455
0.040000,43.467300,290.287726,22.096148,74.073194,144.685363,148.670080,5.850824
0.040000,46.341729,288.868014,25.302067,80.147996,151.870056,179.617326,5.798721
0.040000,49.361988,287.176439,28.763771,86.542586,159.864749,199.867312,5.747457
0.040000,52.521241,285.192205,32.494463,93.267306,168.117980,206.330775,5.698385
0.040000,55.814126,282.899536,36.506872,100.310211,176.072636,198.866395,5.652807
0.040000,59.237943,280.288631,40.812605,107.643348,183.328427,181.394785,5.611912
0.040000,62.772003,277.375034,45.392850,114.506102,171.568855,-293.989304,5.576943
0.040000,66.380137,274.204445,50.196105,120.081390,139.382198,-804.666434,5.548965
0.040000,70.033357,270.834369,55.166359,124.256349,104.373973,-875.205617,5.528585
0.040000,73.708368,267.330621,60.243952,126.939826,67.086933,-932.175994,5.516034
0.040000,77.407299,263.742503,65.397271,128.832957,47.328275,-493.966462,5.511246
0.040000,81.156559,260.098737,70.625461,130.704766,46.795207,-13.326687,5.514138
0.040000,84.984739,256.428236,75.929001,132.588499,47.093335,7.453190,5.524760
0.040000,88.922403,252.761350,81.309638,134.515928,48.185721,27.309659,5.543294
0.040000,93.001669,249.131357,86.770156,136.512955,49.925685,43.499108,5.570031
0.040000,97.255332,245.576139,92.313912,138.593882,52.023161,52.436885,5.605317
0.040000,101.715187,242.139904,97.944011,140.752476,53.964843,48.542043,5.649477
0.040000,106.409208,238.874571,103.662073,142.951563,54.977193,25.308771,5.702681
0.040000,111.357331,235.840137,109.466529,145.111389,53.995653,-24.538517,5.764773
0.040000,116.566129,233.102985,115.350710,147.104526,49.828425,-104.180701,5.835070
0.040000,122.023625,230.731132,121.301335,148.765635,41.527707,-207.517932,5.912208
0.040000,127.696425,228.786292,127.298257,149.923042,28.935181,-314.813172,5.994117
0.040000,133.531688,227.314421,133.316288,150.450767,13.193120,-393.551510,6.078200
0.040000,139.623436,226.366385,139.481364,154.126899,91.903300,1967.754499,6.181429
0.040000,145.690120,226.032019,145.557255,151.897286,-55.740328,-3691.090696,6.271476
0.040000,151.522936,226.165002,151.391587,145.858295,-150.974759,-2380.860792,0.053456
0.040000,157.087977,226.583320,156.972328,139.518532,-158.494081,-187.983036,0.092544
0.040000,162.388652,227.121619,162.300266,133.198457,-158.001884,12.304919,0.105670
0.040000,167.439097,227.636241,167.376863,126.914906,-157.088760,22.828102,0.093017
0.040000,172.248415,228.002735,172.200125,120.581557,-158.333725,-31.124114,0.054408
0.040000,177.759654,228.295183,177.719118,137.974821,434.831594,14829.132967,0.092067
0.040000,183.920718,229.204592,183.946936,155.695462,443.016033,204.610979,0.197783
0.040000,189.727947,230.624303,189.925187,149.456281,-155.979522,-14974.888874,0.277768
0.040000,195.163506,232.340709,195.625307,142.502977,-173.832608,-446.327147,0.329680
0.040000,200.233748,234.155843,201.010662,134.633896,-196.727026,-572.360468,0.353532
0.040000,204.942607,235.897351,206.031241,125.514476,-227.985511,-781.462126,0.350586
0.040000,209.293873,237.431230,210.644948,115.342672,-254.295085,-657.739343,0.322899
0.040000,213.285151,238.666901,214.823129,104.454505,-272.204168,-447.727079,0.273345
0.040000,216.929686,239.564360,218.576536,93.835191,-265.482874,168.032348,0.205651
0.040000,220.408031,240.148746,222.103629,88.177331,-141.446495,3100.909474,0.143494
0.040000,224.689090,240.884673,226.447482,108.596323,510.474810,16298.032625,0.187115
0.040000,228.151591,241.529447,229.969506,88.050583,-513.643504,-25602.957852,0.171811
0.040000,230.890486,241.927049,232.737109,69.190081,-471.512535,1053.274228,0.104575
0.040000,232.848171,242.028917,234.697443,49.008360,-504.543030,-825.762356,6.263198
0.040000,233.922420,241.925059,235.776701,26.981447,-550.672835,-1153.245136,6.073694
0.040000,234.229528,241.832898,236.097339,8.015941,-474.137652,1913.379574,5.831688
0.040000,234.264624,241.809740,236.139387,1.051205,-174.118401,7500.481271,5.586458
0.040000,234.424045,241.637731,236.373913,5.863141,120.298413,7360.420346,5.386386
0.040000,234.717447,241.201091,236.899973,13.151501,182.208989,1547.764420,5.241623
0.040000,235.039197,240.574448,237.604390,17.610435,111.473365,-1768.390601,5.140533
0.040000,235.326392,239.877298,238.358379,18.849733,30.982432,-2012.273325,5.069911
0.040000,235.558200,239.204315,239.070167,17.794683,-26.376244,-1433.966918,5.020349
0.040000,235.733075,238.618748,239.681288,15.278029,-62.916344,-913.502494,4.985855
0.040000,235.855785,238.160554,240.155629,11.858534,-85.487390,-564.276150,4.962726
0.040000,235.932739,237.850359,240.475227,7.989950,-96.714598,-280.680190,4.948572
0.040000,235.973909,237.676421,240.653971,4.468598,-88.033787,217.020259,4.941090
0.040000,235.991268,237.601313,240.731059,1.927193,-63.535125,612.466549,4.937951
0.040000,235.995371,237.583403,240.749433,0.459348,-36.696121,670.975119,4.937211
0.040000,235.995371,237.583403,240.749433,0.000000,-11.483709,630.310280,4.937211
