dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,57.844075,113.573527,0.026825,1.341240,33.531004,838.275091,0.000050
0.040000,57.923272,113.573522,0.134124,4.023720,67.062007,838.275091,6.283046
0.040000,58.164695,113.573438,0.375547,8.047441,100.593011,838.275091,6.282635
0.040000,58.567067,113.573086,0.777919,12.071161,100.593011,-0.000000,6.281990
0.040000,59.130387,113.572177,1.341240,16.094882,100.593011,0.000000,6.281172
0.040000,59.854655,113.570380,2.065510,20.118602,100.593011,-0.000000,6.280264
0.040000,60.739868,113.567383,2.950728,24.142323,100.593011,0.000000,6.279375
0.040000,61.786026,113.562982,3.996896,28.166043,100.593011,0.000000,6.278638
0.040000,62.993129,113.557188,5.204012,32.189764,100.593011,-0.000000,6.278209
0.040000,64.361177,113.550354,6.572077,36.213484,100.593011,0.000000,6.278267
0.040000,65.890174,113.543314,8.101090,40.237204,100.593011,0.000000,6.279017
0.040000,67.580127,113.537558,9.791053,44.260925,100.593011,0.000000,6.280689
0.040000,69.431036,113.535409,11.641964,48.284645,100.593011,-0.000000,0.000352
0.040000,71.442889,113.540235,13.653825,52.308366,100.593011,0.000000,0.004656
0.040000,73.615633,113.556680,15.826634,56.332086,100.593011,-0.000000,0.010727
0.040000,75.949133,113.590917,18.160392,60.355807,100.593011,0.000000,0.018901
0.040000,78.443106,113.650928,20.655098,64.379527,100.593011,0.000000,0.029544
0.040000,81.097010,113.746806,23.310754,68.403247,100.593011,0.000000,0.043054
0.040000,83.909884,113.891067,26.127358,72.426968,100.593011,-0.000000,0.059854
0.040000,86.880117,114.098977,29.104911,76.450688,100.593011,0.000000,0.080389
0.040000,90.005125,114.388838,32.243413,80.474409,100.593011,-0.000000,0.105118
0.040000,93.254337,114.778637,35.516039,83.156889,67.062007,-838.275091,0.134236
0.040000,96.564093,115.280757,38.863820,84.232182,26.882332,-1004.491873,0.167453
0.040000,99.843871,115.895860,42.200964,82.624995,-40.179675,-1676.550182,0.203859
0.040000,103.009475,116.613060,45.446995,79.676568,-73.710679,-838.275091,0.242198
0.040000,106.010200,117.416370,48.553584,75.652848,-100.593011,-672.058310,0.281314
0.040000,108.823522,118.288671,51.499223,71.629127,-100.593011,-0.000000,0.320287
0.040000,111.449293,119.215431,54.283914,67.605407,-100.593011,0.000000,0.358507
0.040000,113.850408,120.215431,56.907656,63.581686,-100.593011,0.000000,0.441357
0.040000,116.038251,121.345278,59.370449,59.557966,-100.593011,-0.000000,0.506240
0.040000,118.031710,122.496024,61.672293,55.534246,-100.593011,0.000000,0.535927
0.040000,119.869322,123.594481,63.813188,51.510525,-100.593011,-0.000000,0.537462
0.040000,121.578781,124.593378,65.793135,47.486805,-100.593011,0.000000,0.516580
0.040000,123.175965,125.463635,67.612133,43.463084,-100.593011,0.000000,0.478084
0.040000,124.666175,126.190126,69.270182,39.439364,-100.593011,-0.000000,0.426484
0.040000,126.046347,126.769573,70.767282,35.415643,-100.593011,0.000000,0.366394
0.040000,127.307909,127.209065,72.103433,31.391923,-100.593011,-0.000000,0.302525
0.040000,128.439899,127.524087,73.278636,27.368203,-100.593011,0.000000,0.239327
0.040000,129.431682,127.735697,74.292889,23.344482,-100.593011,0.000000,0.180531
0.040000,130.274686,127.867269,75.146194,19.320762,-100.593011,-0.000000,0.128854
0.040000,130.962995,127.941529,75.838550,15.297041,-100.593011,0.000000,0.085988
0.040000,131.493098,127.978380,76.369958,11.273321,-100.593011,0.000000,0.052801
0.040000,131.863234,127.993644,76.740416,7.249600,-100.593011,-0.000000,0.029633
0.040000,132.078004,127.998568,76.955245,3.491827,-93.944340,166.216781,0.016213
0.040000,132.169338,127.999788,77.046587,1.075293,-60.413336,838.275091,0.010515
0.040000,132.190844,128.000000,77.068093,0.000000,-26.882332,838.275091,0.009174
0.040000,132.190844,128.000000,77.068093,0.000000,0.000000,672.058310,0.009174
