dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,57.844075,213.574000,0.028679,1.433967,35.849186,896.229650,6.283002
0.040000,57.931878,213.574026,0.143397,4.301902,71.698372,896.229650,0.000596
0.040000,58.189992,213.574403,0.401511,8.603805,107.547558,896.229650,0.002316
0.040000,58.620179,213.575999,0.831701,12.905707,107.547558,-0.000000,0.005082
0.040000,59.222430,213.580174,1.433967,17.207609,107.547558,0.000000,0.008744
0.040000,59.996726,213.588654,2.208310,21.509512,107.547558,-0.000000,0.013092
0.040000,60.943029,213.603347,3.154728,25.811414,107.547558,0.000000,0.017860
0.040000,62.061291,213.626121,4.273223,30.113316,107.547558,0.000000,0.022727
0.040000,63.351454,213.658528,5.563794,34.415219,107.547558,0.000000,0.027316
0.040000,64.813469,213.701485,7.026440,38.717121,107.547558,-0.000000,0.031198
0.040000,66.447318,213.754913,8.661163,43.019023,107.547558,0.000000,0.033890
0.040000,68.253039,213.817320,10.467962,47.320926,107.547558,0.000000,0.034852
0.040000,70.230745,213.885340,12.446837,51.622828,107.547558,-0.000000,0.033485
0.040000,72.380624,213.953198,14.597789,55.924730,107.547558,0.000000,0.029120
0.040000,74.702897,214.012105,16.920816,60.226632,107.547558,-0.000000,0.021010
0.040000,77.197703,214.049552,19.415919,64.528535,107.547558,0.000000,0.008314
0.040000,79.864846,214.048502,22.083099,68.830437,107.547558,-0.000000,6.273273
0.040000,82.703350,213.986476,24.922354,73.132339,107.547558,0.000000,6.248459
0.040000,85.710716,213.834580,27.933686,77.434242,107.547558,0.000000,6.215899
0.040000,88.881735,213.556614,31.117093,81.736144,107.547558,0.000000,6.174383
0.040000,92.206792,213.108548,34.472577,86.038046,107.547558,-0.000000,6.122765
0.040000,95.641648,212.445227,37.971458,88.905981,71.698372,-896.229650,6.060732
0.040000,99.106641,211.532750,41.555344,90.288309,34.558202,-928.504247,5.989459
0.040000,102.492025,210.365616,45.137164,88.802703,-37.140170,-1792.459300,5.912068
0.040000,105.694612,208.971672,48.630880,85.883128,-72.989356,-896.229650,5.832842
0.040000,108.650803,207.399063,51.980168,81.581226,-107.547558,-863.955054,5.755739
0.040000,111.335881,205.701822,55.157379,77.279324,-107.547558,0.000000,5.683558
0.040000,113.624086,203.807121,58.162513,72.977421,-107.547558,-0.000000,5.448588
0.040000,115.262058,201.502480,60.995572,68.675519,-107.547558,0.000000,5.230604
0.040000,116.435594,199.115707,63.656555,64.373617,-107.547558,0.000000,5.122231
0.040000,117.378819,196.812573,66.145462,60.071714,-107.547558,-0.000000,5.090137
0.040000,118.249747,194.665734,68.462292,55.769812,-107.547558,0.000000,5.114153
0.040000,119.150437,192.719782,70.607047,51.467910,-107.547558,-0.000000,5.186285
0.040000,120.143508,191.016594,72.579725,47.166007,-107.547558,0.000000,5.302995
0.040000,121.251624,189.599605,74.380327,42.864105,-107.547558,0.000000,5.456553
0.040000,122.449734,188.499566,76.008853,38.562203,-107.547558,-0.000000,5.628268
0.040000,123.672400,187.711195,77.465303,34.260301,-107.547558,0.000000,5.792818
0.040000,124.844292,187.188117,78.749677,29.958398,-107.547558,-0.000000,5.932016
0.040000,125.907781,186.864125,79.861975,25.656496,-107.547558,-0.000000,6.040758
0.040000,126.828832,186.676518,80.802197,21.354594,-107.547558,0.000000,6.122069
0.040000,127.590281,186.576172,81.570343,17.052691,-107.547558,-0.000000,6.181173
0.040000,128.184351,186.527987,82.166412,12.750789,-107.547558,0.000000,6.222727
0.040000,128.607871,186.508233,82.590406,8.448887,-107.547558,-0.000000,6.250141
0.040000,128.860740,186.501855,82.843356,4.198624,-106.256574,32.274596,6.265694
0.040000,128.972346,186.500276,82.954975,1.382328,-70.407388,896.229650,6.272373
0.040000,129.000000,186.500000,82.982622,0.000000,-34.558202,896.229650,6.274011
0.040000,129.000000,186.500000,82.982622,0.000000,0.000000,863.955054,6.274011
