dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.639777,26.245577,0.001852,0.074074,1.481481,29.629630,0.000321
0.050000,10.639777,26.245577,0.009259,0.222222,2.962963,29.629630,0.000300
0.050000,10.639777,26.245577,0.025926,0.444444,4.444444,29.629630,0.000252
0.050000,10.639777,26.245577,0.055556,0.740741,5.925926,29.629630,0.000167
0.050000,10.639777,26.245577,0.101852,1.111111,7.407407,29.629630,0.000034
0.050000,10.694433,26.245572,0.168519,1.555556,8.888889,29.629630,6.283029
0.050000,10.785174,26.245546,0.259259,2.074074,10.370370,29.629630,6.282771
0.050000,10.903692,26.245477,0.377778,2.666667,11.851852,29.629630,6.282436
0.050000,11.053692,26.245334,0.527778,3.333333,13.333333,29.629630,6.282016
0.050000,11.238878,26.245069,0.712963,4.074074,14.814815,29.629630,6.281501
0.050000,11.462951,26.244623,0.937037,4.888889,16.296296,29.629630,6.280887
0.050000,11.729617,26.243914,1.203704,5.777778,17.777778,29.629630,6.280166
0.050000,12.042578,26.242838,1.516667,6.740741,19.259259,29.629630,6.279336
0.050000,12.405537,26.241270,1.879630,7.777778,20.740741,29.629630,6.278393
0.050000,12.822199,26.239052,2.296296,8.888889,22.222222,29.629630,6.277337
0.050000,13.296263,26.236002,2.770370,10.074074,23.703704,29.629630,6.276171
0.050000,13.831433,26.231905,3.305556,11.333333,25.185185,29.629630,6.274899
0.050000,14.431408,26.226519,3.905556,12.666667,26.666667,29.629630,6.273528
0.050000,15.099891,26.219572,4.574074,14.074074,28.148148,29.629630,6.272071
0.050000,15.840579,26.210767,5.314815,15.555556,29.629630,29.629630,6.270541
0.050000,16.655320,26.199813,6.129630,17.037037,29.629630,0.000000,6.268961
0.050000,17.544108,26.186449,7.018519,18.518519,29.629630,-0.000000,6.267360
0.050000,18.506938,26.170432,7.981481,20.000000,29.629630,0.000000,6.265769
0.050000,19.543803,26.151555,9.018519,21.481481,29.629630,0.000000,6.264223
0.050000,20.654698,26.129656,10.129630,22.962963,29.629630,0.000000,6.262759
0.050000,21.839620,26.104630,11.314815,24.444444,29.629630,0.000000,6.261414
0.050000,23.098563,26.076446,12.574074,25.925926,29.629630,0.000000,6.260231
0.050000,24.429678,26.045204,13.905556,27.333333,28.148148,-29.629630,6.259255
0.050000,25.829264,26.011163,15.305556,28.666667,26.666667,-29.629630,6.258532
0.050000,27.293625,25.974702,16.770370,29.925926,25.185185,-29.629630,6.258108
0.050000,28.819069,25.936333,18.296296,31.111111,23.703704,-29.629630,6.258028
0.050000,30.401906,25.896696,19.879630,32.222222,22.222222,-29.629630,6.258335
0.050000,32.038451,25.856564,21.516667,33.259259,20.740741,-29.629630,6.259071
