dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.639777,294.129967,0.001838,0.073529,1.470588,29.411765,6.282900
0.050000,10.639777,294.129967,0.009191,0.220588,2.941176,29.411765,6.282914
0.050000,10.639777,294.129967,0.025735,0.441176,4.411765,29.411765,6.282944
0.050000,10.639777,294.129967,0.055147,0.735294,5.882353,29.411765,6.282998
0.050000,10.639777,294.129967,0.101103,1.102941,7.352941,29.411765,6.283081
0.050000,10.648581,294.129967,0.167279,1.544118,8.823529,29.411765,0.000016
0.050000,10.738652,294.129975,0.257353,2.058824,10.294118,29.411765,0.000178
0.050000,10.856299,294.130009,0.375000,2.647059,11.764706,29.411765,0.000389
0.050000,11.005196,294.130086,0.523897,3.308824,13.235294,29.411765,0.000652
0.050000,11.189020,294.130236,0.707721,4.044118,14.705882,29.411765,0.000973
0.050000,11.411447,294.130495,0.930147,4.852941,16.176471,29.411765,0.001356
0.050000,11.676152,294.130913,1.194853,5.735294,17.647059,29.411765,0.001802
0.050000,11.986813,294.131552,1.505515,6.691176,19.117647,29.411765,0.002313
0.050000,12.347107,294.132490,1.865809,7.720588,20.588235,29.411765,0.002889
0.050000,12.760707,294.133818,2.279412,8.823529,22.058824,29.411765,0.003529
0.050000,13.231292,294.135645,2.750000,10.000000,23.529412,29.411765,0.004229
0.050000,13.760698,294.138085,3.279412,11.176471,23.529412,0.000000,0.004981
0.050000,14.348925,294.141249,3.867647,12.352941,23.529412,0.000000,0.005771
0.050000,14.995972,294.145250,4.514706,13.529412,23.529412,0.000000,0.006587
0.050000,15.701838,294.150196,5.220588,14.705882,23.529412,-0.000000,0.007413
0.050000,16.466520,294.156183,5.985294,15.882353,23.529412,-0.000000,0.008233
0.050000,17.290019,294.163297,6.808824,17.058824,23.529412,0.000000,0.009030
0.050000,18.172333,294.171605,7.691176,18.235294,23.529412,-0.000000,0.009784
0.050000,19.113461,294.181147,8.632353,19.411765,23.529412,0.000000,0.010475
0.050000,20.113403,294.191937,9.632353,20.588235,23.529412,0.000000,0.011083
0.050000,21.172159,294.203949,10.691176,21.764706,23.529412,0.000000,0.011583
0.050000,22.289729,294.217117,11.808824,22.941176,23.529412,0.000000,0.011954
0.050000,23.466114,294.231323,12.985294,24.117647,23.529412,0.000000,0.012168
0.050000,24.701317,294.246393,14.220588,25.294118,23.529412,-0.000000,0.012199
0.050000,25.995340,294.262088,15.514706,26.470588,23.529412,0.000000,0.012020
0.050000,27.348186,294.278092,16.867647,27.647059,23.529412,0.000000,0.011599
0.050000,28.759862,294.294009,18.279412,28.823529,23.529412,-0.000000,0.010907
0.050000,30.230370,294.309348,19.750000,30.000000,23.529412,0.000000,0.009908
0.050000,31.759717,294.323515,21.279412,31.176471,23.529412,0.000000,0.008567
0.050000,33.346067,294.335788,22.865809,32.279412,22.058824,-29.411765,0.006850
0.050000,34.985744,294.345323,24.505515,33.308824,20.588235,-29.411765,0.004721
0.050000,36.675074,294.351179,26.194853,34.264706,19.117647,-29.411765,0.002147
0.050000,38.410368,294.352318,27.930147,35.147059,17.647059,-29.411765,6.282282
0.050000,40.187934,294.347615,29.707721,35.955882,16.176471,-29.411765,6.278723
0.050000,42.004071,294.335859,31.523897,36.691176,14.705882,-29.411765,6.274624
0.050000,43.855062,294.315767,33.375000,37.352941,13.235294,-29.411765,6.269955
0.050000,45.737178,294.285989,35.257353,37.941176,11.764706,-29.411765,6.264687
0.050000,47.646666,294.245121,37.167279,38.455882,10.294118,-29.411765,6.258792
0.050000,49.579752,294.191721,39.101103,38.897059,8.823529,-29.411765,6.252245
0.050000,51.532625,294.124316,41.055147,39.264706,7.352941,-29.411765,6.245019
0.050000,53.501467,294.041427,43.025735,39.558824,5.882353,-29.411765,6.237091
0.050000,55.482404,293.941578,45.009191,39.779412,4.411765,-29.411765,6.228440
0.050000,57.471532,293.823321,47.001838,39.926471,2.941176,-29.411765,6.219048
0.050000,59.464910,293.685256,49.000000,40.000000,1.470588,-29.411765,6.208896
0.050000,61.458553,293.526054,51.000000,40.000000,0.000000,-29.411765,6.197974
0.050000,63.450263,293.344304,53.000000,40.000000,0.000000,0.000000,6.186260
0.050000,65.439625,293.138423,55.000000,40.000000,0.000000,0.000000,6.173724
0.050000,67.426154,292.906777,57.000000,40.000000,0.000000,0.000000,6.160334
0.050000,69.409281,292.647680,59.000000,40.000000,0.000000,0.000000,6.146057
0.050000,71.388376,292.359394,61.000000,40.000000,0.000000,0.000000,6.130861
0.050000,73.362707,292.040132,63.000000,40.000000,0.000000,0.000000,6.114710
0.050000,75.331452,291.688060,65.000000,40.000000,0.000000,0.000000,6.097573
0.050000,77.293668,291.301310,67.000000,40.000000,0.000000,0.000000,6.079417
0.050000,79.248322,290.877976,69.000000,40.000000,0.000000,0.000000,6.060210
0.050000,81.194235,290.416137,71.000000,40.000000,0.000000,0.000000,6.039926
0.050000,83.130098,289.913862,73.000000,40.000000,0.000000,0.000000,6.018539
0.050000,85.054469,289.369230,75.000000,40.000000,0.000000,0.000000,5.996032
0.050000,86.965758,288.780347,77.000000,40.000000,0.000000,0.000000,5.972392
0.050000,88.862228,288.145371,79.000000,40.000000,0.000000,0.000000,5.947613
0.050000,90.741990,287.462539,81.000000,40.000000,0.000000,0.000000,5.921702
0.050000,92.603016,286.730194,83.000000,40.000000,0.000000,0.000000,5.894675
0.050000,94.443142,285.946818,85.000000,40.000000,0.000000,0.000000,5.866560
0.050000,96.260073,285.111072,87.000000,40.000000,0.000000,0.000000,5.837402
0.050000,98.051419,284.221819,89.000000,40.000000,0.000000,0.000000,5.807258
0.050000,99.814710,283.278168,91.000000,40.000000,0.000000,0.000000,5.776204
0.050000,101.547429,282.279501,93.000000,40.000000,0.000000,0.000000,5.744330
0.050000,103.247053,281.225500,95.000000,40.000000,0.000000,0.000000,5.711741
0.050000,104.911090,280.116170,97.000000,40.000000,0.000000,0.000000,5.678559
0.050000,106.537125,278.951853,99.000000,40.000000,0.000000,0.000000,5.644916
0.050000,108.122861,277.733230,101.000000,40.000000,0.000000,0.000000,5.610953
0.050000,109.666177,276.461311,103.000000,40.000000,0.000000,0.000000,5.576818
0.050000,111.165158,275.137425,105.000000,40.000000,0.000000,0.000000,5.542661
0.050000,112.618118,273.763202,107.000000,40.000000,0.000000,0.000000,5.508632
0.050000,114.023661,272.340515,109.000000,40.000000,0.000000,0.000000,5.474875
0.050000,115.380681,270.871446,111.000000,40.000000,0.000000,0.000000,5.441524
0.050000,116.688337,269.358294,113.000000,40.000000,0.000000,0.000000,5.408705
0.050000,117.946128,267.803434,115.000000,40.000000,0.000000,0.000000,5.376527
0.050000,119.153825,266.209342,117.000000,40.000000,0.000000,0.000000,5.345086
0.050000,120.311479,264.578528,119.000000,40.000000,0.000000,0.000000,5.314463
0.050000,121.419375,262.913525,121.000000,40.000000,0.000000,0.000000,5.284720
0.050000,122.478061,261.216780,123.000000,40.000000,0.000000,0.000000,5.255906
0.050000,123.488242,259.490739,125.000000,40.000000,0.000000,0.000000,5.228055
0.050000,124.450835,257.737691,127.000000,40.000000,0.000000,0.000000,5.201187
0.050000,125.366876,255.959854,129.000000,40.000000,0.000000,0.000000,5.175312
0.050000,126.237490,254.159381,131.000000,40.000000,0.000000,0.000000,5.150429
0.050000,127.063952,252.338168,133.000000,40.000000,0.000000,0.000000,5.126527
0.050000,127.847544,250.498099,135.000000,40.000000,0.000000,0.000000,5.103589
0.050000,128.589599,248.640912,137.000000,40.000000,0.000000,0.000000,5.081595
0.050000,129.291490,246.768182,139.000000,40.000000,0.000000,0.000000,5.060516
0.050000,129.954612,244.881318,141.000000,40.000000,0.000000,0.000000,5.040323
0.050000,130.580296,242.981775,143.000000,40.000000,0.000000,0.000000,5.020984
0.050000,131.169928,241.070702,145.000000,40.000000,0.000000,0.000000,5.002464
0.050000,131.724829,239.149252,147.000000,40.000000,0.000000,0.000000,4.984729
0.050000,132.246303,237.218444,149.000000,40.000000,0.000000,0.000000,4.967745
0.050000,132.735610,235.279243,151.000000,40.000000,0.000000,0.000000,4.951478
0.050000,133.193975,233.332504,153.000000,40.000000,0.000000,0.000000,4.935893
0.050000,133.622583,231.379006,155.000000,40.000000,0.000000,0.000000,4.920957
0.050000,134.022580,229.419431,157.000000,40.000000,0.000000,0.000000,4.906638
0.050000,134.379147,227.577935,159.000000,40.000000,0.000000,0.000000,4.908470
0.050000,134.788272,225.620257,161.000000,40.000000,0.000000,0.000000,4.928498
0.050000,135.237415,223.671385,163.000000,40.000000,0.000000,0.000000,4.949454
0.050000,135.728231,221.732589,165.000000,40.000000,0.000000,0.000000,4.971380
0.050000,136.262401,219.805283,167.000000,40.000000,0.000000,0.000000,4.994315
0.050000,136.841621,217.891059,169.000000,40.000000,0.000000,0.000000,5.018297
