dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,36.602141,36.866544,0.030476,1.523810,38.095238,952.380952,0.358251
0.040000,36.602141,36.866544,0.152381,4.571429,76.190476,952.380952,0.358714
0.040000,36.844822,36.957685,0.426667,9.142857,114.285714,952.380952,0.359753
0.040000,37.301067,37.129769,0.914286,15.238095,152.380952,952.380952,0.361597
0.040000,38.013312,37.400328,1.676190,22.857143,190.476190,952.380952,0.364464
0.040000,39.009155,37.782528,2.742857,30.476190,190.476190,0.000000,0.368449
0.040000,40.287282,38.279724,4.114286,38.095238,190.476190,0.000000,0.373524
0.040000,41.846007,38.896151,5.790476,45.714286,190.476190,-0.000000,0.379651
0.040000,43.683263,39.636857,7.771429,53.333333,190.476190,0.000000,0.386782
0.040000,45.796609,40.507620,10.057143,60.952381,190.476190,0.000000,0.394860
0.040000,48.183237,41.514858,12.647619,68.571429,190.476190,0.000000,0.403816
0.040000,50.839988,42.665512,15.542857,76.190476,190.476190,0.000000,0.413571
0.040000,53.763385,43.966920,18.742857,83.809524,190.476190,0.000000,0.424032
0.040000,56.949662,45.426668,22.247619,91.428571,190.476190,-0.000000,0.435097
0.040000,60.394832,47.052433,26.057143,99.047619,190.476190,0.000000,0.446647
0.040000,64.094752,48.851806,30.171429,106.666667,190.476190,-0.000000,0.458554
0.040000,68.045213,50.832106,34.590476,114.285714,190.476190,0.000000,0.470677
0.040000,72.242061,53.000186,39.314286,121.904762,190.476190,-0.000000,0.482863
0.040000,76.681318,55.362223,44.342857,129.523810,190.476190,0.000000,0.494945
0.040000,81.359339,57.923518,49.676190,137.142857,190.476190,0.000000,0.506750
0.040000,86.272982,60.688276,55.314286,144.761905,190.476190,0.000000,0.518091
0.040000,91.393479,63.644021,61.226667,150.857143,152.380952,-952.380952,0.528722
0.040000,96.667388,66.760103,67.352381,155.428571,114.285714,-952.380952,0.538373
0.040000,102.043355,70.002514,73.630476,158.476190,76.190476,-952.380952,0.546821
0.040000,107.471895,73.334422,80.000000,160.000000,38.095238,-952.380952,0.553903
0.040000,112.905060,76.716820,86.400000,160.000000,0.000000,-952.380952,0.559511
0.040000,118.321750,80.125546,92.800000,160.000000,0.000000,0.000000,0.563609
0.040000,123.727010,83.552372,99.200000,160.000000,0.000000,0.000000,0.566201
0.040000,129.125960,86.989136,105.600000,160.000000,0.000000,0.000000,0.567288
0.040000,134.523756,90.427709,112.000000,160.000000,0.000000,0.000000,0.566872
0.040000,139.925567,93.859972,118.400000,160.000000,0.000000,0.000000,0.564951
0.040000,145.336533,97.277780,124.800000,160.000000,0.000000,0.000000,0.561525
0.040000,150.761734,100.672939,131.200000,160.000000,0.000000,0.000000,0.556590
0.040000,156.206161,104.037175,137.600000,160.000000,0.000000,0.000000,0.550145
0.040000,161.674669,107.362111,144.000000,160.000000,0.000000,0.000000,0.542187
